scenario,H,winner_group_id,config_id,run_id,replicate,seed,selection_rank,is_selected,alpha_agree,alpha_disagree,eta_kind,eta_label,eta0,c,beta,gamma,random_states,pA,pB,initial_state,utility_spec_id,transition_spec_id,p_H_A_init,p_AI_A_init,p_H_B_init,p_AI_B_init,D_JS_mean,D_JS_final,D_JS_A_final,D_JS_B_final,Sh_entr_H_mean,Sh_entr_AI_mean,Sh_entr_H_final,Sh_entr_AI_final,p_H_A_final,p_AI_A_final,p_H_B_final,p_AI_B_final,absdiff_A_final,absdiff_B_final,reward_structural_final,reward_structural_mean,reward_structural_cumulative,Uhat_H_realized_final,Uhat_AI_realized_final,Uhat_coal_final,Vhat_A_final,Vhat_B_final,Vhat_coal_final,n_H_exec,n_AI_exec,f_H_final,f_AI_final,n_agree,n_ctx,n_disagree,f_agree,f_ctx,f_disagree,ctx_prob_H_mean,ctx_prob_AI_mean,ctx_prob_H_final,ctx_prob_AI_final,n_H_ctx,n_AI_ctx,f_H_ctx,f_AI_ctx,n_state_A,n_state_B,state_A_freq,state_B_freq,N_H_A_a0_final,N_H_A_a1_final,N_H_B_a0_final,N_H_B_a1_final,N_AI_A_a0_final,N_AI_A_a1_final,N_AI_B_a0_final,N_AI_B_a1_final,chain_p_H_A_a0,chain_p_H_A_a1,chain_p_H_B_a0,chain_p_H_B_a1,chain_p_AI_A_a0,chain_p_AI_A_a1,chain_p_AI_B_a0,chain_p_AI_B_a1,chain_U_H_A_a0,chain_U_H_A_a1,chain_U_H_B_a0,chain_U_H_B_a1,chain_U_AI_A_a0,chain_U_AI_A_a1,chain_U_AI_B_a0,chain_U_AI_B_a1,chain_P_A_a0_A,chain_P_A_a0_B,chain_P_A_a1_A,chain_P_A_a1_B,chain_P_B_a0_A,chain_P_B_a0_B,chain_P_B_a1_A,chain_P_B_a1_B,state_final,a_H_final,a_AI_final,a_star_final,owner_final,lambda_final,regime_final
scenario1,200,scenario1__H200__eta-constant__states-endogenous,cfg_09cebf682c97276407ab,run_2bbe80e0e1c6d455,1,42,1,True,0.35,0.85,constant,constant_eta0_0p15,0.15,,0.02,0.25,False,,,A,opposed_binary_state_preferences_v1,binary_stay_switch_a0_0p1_a1_0p9_v1,0.99,0.01,0.01,0.99,0.07066377869168206,1.464800503114816e-14,1.0348207499233375e-09,1.2420620087993939e-14,0.5865449367765598,0.7043873235994862,0.042222342091737565,0.04222219226461394,0.9949270635936924,0.9949216805217079,0.9961024720653523,0.9961024884723202,5.383071984499388e-06,1.6406967895399305e-08,1.0,0.605,121.0,0.0,0.5092699530495672,0.5092699530495672,0.04166714326699701,1.2916666905490737,1.2916666905490737,6,194,0.03,0.97,177,21,2,0.885,0.105,0.01,0.2672824620341183,0.7327175379658817,0.13760062282423313,0.8623993771757669,4,17,0.19047619047619047,0.8095238095238095,83,117,0.415,0.585,52,19,85,21,58,25,90,27,0.9949270635936924,0.0050729364063076795,0.9961024720653523,0.0038975279346477178,0.9949216805217079,0.005078319478292032,0.9961024884723202,0.0038975115276798245,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9,0.1,0.09999999999999998,0.9,0.1,0.9,0.9,0.09999999999999998,B,a0,a0,a0,AI,0,agreement
scenario1,200,scenario1__H200__eta-constant__states-endogenous,cfg_1294948a06b3f24da4e7,run_3824d379ef063017,1,42,2,False,0.35,0.85,constant,constant_eta0_0p15,0.15,,0.1,0.75,False,,,A,opposed_binary_state_preferences_v1,binary_stay_switch_a0_0p1_a1_0p9_v1,0.99,0.01,0.01,0.99,0.07066377869168206,1.464800503114816e-14,1.0348207499233375e-09,1.2420620087993939e-14,0.5865449367765598,0.7043873235994862,0.042222342091737565,0.04222219226461394,0.9949270635936924,0.9949216805217079,0.9961024720653523,0.9961024884723202,5.383071984499388e-06,1.6406967895399305e-08,1.0,0.605,121.0,0.0,0.5743136178972055,0.5743136178972055,0.7785072433543934,3.2688963345511026,3.2688963345511026,6,194,0.03,0.97,177,21,2,0.885,0.105,0.01,0.2672824620341183,0.7327175379658817,0.13760062282423313,0.8623993771757669,4,17,0.19047619047619047,0.8095238095238095,83,117,0.415,0.585,52,19,85,21,58,25,90,27,0.9949270635936924,0.0050729364063076795,0.9961024720653523,0.0038975279346477178,0.9949216805217079,0.005078319478292032,0.9961024884723202,0.0038975115276798245,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9,0.1,0.09999999999999998,0.9,0.1,0.9,0.9,0.09999999999999998,B,a0,a0,a0,AI,0,agreement
scenario1,200,scenario1__H200__eta-constant__states-endogenous,cfg_129ce151bf7e1f23a59c,run_c0e8fdfb356cf8ee,1,42,3,False,0.35,0.85,constant,constant_eta0_0p15,0.15,,0.02,0.75,False,,,A,opposed_binary_state_preferences_v1,binary_stay_switch_a0_0p1_a1_0p9_v1,0.99,0.01,0.01,0.99,0.07066377869168206,1.464800503114816e-14,1.0348207499233375e-09,1.2420620087993939e-14,0.5865449367765598,0.7043873235994862,0.042222342091737565,0.04222219226461394,0.9949270635936924,0.9949216805217079,0.9961024720653523,0.9961024884723202,5.383071984499388e-06,1.6406967895399305e-08,1.0,0.605,121.0,0.0,0.5092699530495672,0.5092699530495672,0.7785072433543934,3.2688963345511026,3.2688963345511026,6,194,0.03,0.97,177,21,2,0.885,0.105,0.01,0.2672824620341183,0.7327175379658817,0.13760062282423313,0.8623993771757669,4,17,0.19047619047619047,0.8095238095238095,83,117,0.415,0.585,52,19,85,21,58,25,90,27,0.9949270635936924,0.0050729364063076795,0.9961024720653523,0.0038975279346477178,0.9949216805217079,0.005078319478292032,0.9961024884723202,0.0038975115276798245,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9,0.1,0.09999999999999998,0.9,0.1,0.9,0.9,0.09999999999999998,B,a0,a0,a0,AI,0,agreement
scenario1,200,scenario1__H200__eta-constant__states-endogenous,cfg_5256dd92e13d4bb198e4,run_48cfccf486e1a95c,1,42,4,False,0.35,0.85,constant,constant_eta0_0p15,0.15,,0.1,0.9,False,,,A,opposed_binary_state_preferences_v1,binary_stay_switch_a0_0p1_a1_0p9_v1,0.99,0.01,0.01,0.99,0.07066377869168206,1.464800503114816e-14,1.0348207499233375e-09,1.2420620087993939e-14,0.5865449367765598,0.7043873235994862,0.042222342091737565,0.04222219226461394,0.9949270635936924,0.9949216805217079,0.9961024720653523,0.9961024884723202,5.383071984499388e-06,1.6406967895399305e-08,1.0,0.605,121.0,0.0,0.5743136178972055,0.5743136178972055,4.065617070707581,7.513121905745819,7.513121905745819,6,194,0.03,0.97,177,21,2,0.885,0.105,0.01,0.2672824620341183,0.7327175379658817,0.13760062282423313,0.8623993771757669,4,17,0.19047619047619047,0.8095238095238095,83,117,0.415,0.585,52,19,85,21,58,25,90,27,0.9949270635936924,0.0050729364063076795,0.9961024720653523,0.0038975279346477178,0.9949216805217079,0.005078319478292032,0.9961024884723202,0.0038975115276798245,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9,0.1,0.09999999999999998,0.9,0.1,0.9,0.9,0.09999999999999998,B,a0,a0,a0,AI,0,agreement
scenario1,200,scenario1__H200__eta-constant__states-endogenous,cfg_939d749fc9f209953dac,run_2eab967375cba49e,1,42,5,False,0.35,0.85,constant,constant_eta0_0p15,0.15,,0.1,0.5,False,,,A,opposed_binary_state_preferences_v1,binary_stay_switch_a0_0p1_a1_0p9_v1,0.99,0.01,0.01,0.99,0.07066377869168206,1.464800503114816e-14,1.0348207499233375e-09,1.2420620087993939e-14,0.5865449367765598,0.7043873235994862,0.042222342091737565,0.04222219226461394,0.9949270635936924,0.9949216805217079,0.9961024720653523,0.9961024884723202,5.383071984499388e-06,1.6406967895399305e-08,1.0,0.605,121.0,0.0,0.5743136178972055,0.5743136178972055,0.166848188444362,1.8333849676796583,1.8333849676796583,6,194,0.03,0.97,177,21,2,0.885,0.105,0.01,0.2672824620341183,0.7327175379658817,0.13760062282423313,0.8623993771757669,4,17,0.19047619047619047,0.8095238095238095,83,117,0.415,0.585,52,19,85,21,58,25,90,27,0.9949270635936924,0.0050729364063076795,0.9961024720653523,0.0038975279346477178,0.9949216805217079,0.005078319478292032,0.9961024884723202,0.0038975115276798245,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9,0.1,0.09999999999999998,0.9,0.1,0.9,0.9,0.09999999999999998,B,a0,a0,a0,AI,0,agreement
scenario1,200,scenario1__H200__eta-constant__states-endogenous,cfg_a8b530bd08ecaa712989,run_9713220a146d9536,1,42,6,False,0.35,0.85,constant,constant_eta0_0p15,0.15,,0.05,0.25,False,,,A,opposed_binary_state_preferences_v1,binary_stay_switch_a0_0p1_a1_0p9_v1,0.99,0.01,0.01,0.99,0.07066377869168206,1.464800503114816e-14,1.0348207499233375e-09,1.2420620087993939e-14,0.5865449367765598,0.7043873235994862,0.042222342091737565,0.04222219226461394,0.9949270635936924,0.9949216805217079,0.9961024720653523,0.9961024884723202,5.383071984499388e-06,1.6406967895399305e-08,1.0,0.605,121.0,0.0,0.5445758512440421,0.5445758512440421,0.04166714326699701,1.2916666905490737,1.2916666905490737,6,194,0.03,0.97,177,21,2,0.885,0.105,0.01,0.2672824620341183,0.7327175379658817,0.13760062282423313,0.8623993771757669,4,17,0.19047619047619047,0.8095238095238095,83,117,0.415,0.585,52,19,85,21,58,25,90,27,0.9949270635936924,0.0050729364063076795,0.9961024720653523,0.0038975279346477178,0.9949216805217079,0.005078319478292032,0.9961024884723202,0.0038975115276798245,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9,0.1,0.09999999999999998,0.9,0.1,0.9,0.9,0.09999999999999998,B,a0,a0,a0,AI,0,agreement
scenario1,200,scenario1__H200__eta-constant__states-endogenous,cfg_b0cba706adde0976feea,run_45847d4924c7aba7,1,42,7,False,0.35,0.85,constant,constant_eta0_0p15,0.15,,0.1,0.25,False,,,A,opposed_binary_state_preferences_v1,binary_stay_switch_a0_0p1_a1_0p9_v1,0.99,0.01,0.01,0.99,0.07066377869168206,1.464800503114816e-14,1.0348207499233375e-09,1.2420620087993939e-14,0.5865449367765598,0.7043873235994862,0.042222342091737565,0.04222219226461394,0.9949270635936924,0.9949216805217079,0.9961024720653523,0.9961024884723202,5.383071984499388e-06,1.6406967895399305e-08,1.0,0.605,121.0,0.0,0.5743136178972055,0.5743136178972055,0.04166714326699701,1.2916666905490737,1.2916666905490737,6,194,0.03,0.97,177,21,2,0.885,0.105,0.01,0.2672824620341183,0.7327175379658817,0.13760062282423313,0.8623993771757669,4,17,0.19047619047619047,0.8095238095238095,83,117,0.415,0.585,52,19,85,21,58,25,90,27,0.9949270635936924,0.0050729364063076795,0.9961024720653523,0.0038975279346477178,0.9949216805217079,0.005078319478292032,0.9961024884723202,0.0038975115276798245,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9,0.1,0.09999999999999998,0.9,0.1,0.9,0.9,0.09999999999999998,B,a0,a0,a0,AI,0,agreement
scenario1,200,scenario1__H200__eta-constant__states-endogenous,cfg_bded78a4152ab4c44b32,run_e94a07dde4112de9,1,42,8,False,0.35,0.85,constant,constant_eta0_0p15,0.15,,0.02,0.9,False,,,A,opposed_binary_state_preferences_v1,binary_stay_switch_a0_0p1_a1_0p9_v1,0.99,0.01,0.01,0.99,0.07066377869168206,1.464800503114816e-14,1.0348207499233375e-09,1.2420620087993939e-14,0.5865449367765598,0.7043873235994862,0.042222342091737565,0.04222219226461394,0.9949270635936924,0.9949216805217079,0.9961024720653523,0.9961024884723202,5.383071984499388e-06,1.6406967895399305e-08,1.0,0.605,121.0,0.0,0.5092699530495672,0.5092699530495672,4.065617070707581,7.513121905745819,7.513121905745819,6,194,0.03,0.97,177,21,2,0.885,0.105,0.01,0.2672824620341183,0.7327175379658817,0.13760062282423313,0.8623993771757669,4,17,0.19047619047619047,0.8095238095238095,83,117,0.415,0.585,52,19,85,21,58,25,90,27,0.9949270635936924,0.0050729364063076795,0.9961024720653523,0.0038975279346477178,0.9949216805217079,0.005078319478292032,0.9961024884723202,0.0038975115276798245,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9,0.1,0.09999999999999998,0.9,0.1,0.9,0.9,0.09999999999999998,B,a0,a0,a0,AI,0,agreement
scenario1,200,scenario1__H200__eta-constant__states-endogenous,cfg_ceaba3874f14f239833b,run_d0f0b76356826727,1,42,9,False,0.35,0.85,constant,constant_eta0_0p15,0.15,,0.05,0.75,False,,,A,opposed_binary_state_preferences_v1,binary_stay_switch_a0_0p1_a1_0p9_v1,0.99,0.01,0.01,0.99,0.07066377869168206,1.464800503114816e-14,1.0348207499233375e-09,1.2420620087993939e-14,0.5865449367765598,0.7043873235994862,0.042222342091737565,0.04222219226461394,0.9949270635936924,0.9949216805217079,0.9961024720653523,0.9961024884723202,5.383071984499388e-06,1.6406967895399305e-08,1.0,0.605,121.0,0.0,0.5445758512440421,0.5445758512440421,0.7785072433543934,3.2688963345511026,3.2688963345511026,6,194,0.03,0.97,177,21,2,0.885,0.105,0.01,0.2672824620341183,0.7327175379658817,0.13760062282423313,0.8623993771757669,4,17,0.19047619047619047,0.8095238095238095,83,117,0.415,0.585,52,19,85,21,58,25,90,27,0.9949270635936924,0.0050729364063076795,0.9961024720653523,0.0038975279346477178,0.9949216805217079,0.005078319478292032,0.9961024884723202,0.0038975115276798245,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9,0.1,0.09999999999999998,0.9,0.1,0.9,0.9,0.09999999999999998,B,a0,a0,a0,AI,0,agreement
scenario1,200,scenario1__H200__eta-constant__states-endogenous,cfg_dbe4854dca0c802ef7c4,run_63929527b31eb4b7,1,42,10,False,0.35,0.85,constant,constant_eta0_0p15,0.15,,0.05,0.1,False,,,A,opposed_binary_state_preferences_v1,binary_stay_switch_a0_0p1_a1_0p9_v1,0.99,0.01,0.01,0.99,0.07066377869168206,1.464800503114816e-14,1.0348207499233375e-09,1.2420620087993939e-14,0.5865449367765598,0.7043873235994862,0.042222342091737565,0.04222219226461394,0.9949270635936924,0.9949216805217079,0.9961024720653523,0.9961024884723202,5.383071984499388e-06,1.6406967895399305e-08,1.0,0.605,121.0,0.0,0.5445758512440421,0.5445758512440421,0.012077296183672006,1.0990338164423834,1.0990338164423834,6,194,0.03,0.97,177,21,2,0.885,0.105,0.01,0.2672824620341183,0.7327175379658817,0.13760062282423313,0.8623993771757669,4,17,0.19047619047619047,0.8095238095238095,83,117,0.415,0.585,52,19,85,21,58,25,90,27,0.9949270635936924,0.0050729364063076795,0.9961024720653523,0.0038975279346477178,0.9949216805217079,0.005078319478292032,0.9961024884723202,0.0038975115276798245,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9,0.1,0.09999999999999998,0.9,0.1,0.9,0.9,0.09999999999999998,B,a0,a0,a0,AI,0,agreement
