scenario,H,winner_group_id,config_id,eta_kind,eta_label,random_states,alpha_agree,alpha_disagree,eta0,c,beta,gamma,pA,pB,initial_state,utility_spec_id,transition_spec_id,representative_run_id,representative_replicate,representative_seed,D_JS_final,D_JS_A_final,D_JS_B_final,Sh_entr_H_final,Sh_entr_AI_final,absdiff_A_final,absdiff_B_final,p_H_A_final,p_AI_A_final,p_H_B_final,p_AI_B_final,chain_p_H_A_a0,chain_p_H_A_a1,chain_p_H_B_a0,chain_p_H_B_a1,chain_p_AI_A_a0,chain_p_AI_A_a1,chain_p_AI_B_a0,chain_p_AI_B_a1,chain_U_H_A_a0,chain_U_H_A_a1,chain_U_H_B_a0,chain_U_H_B_a1,chain_U_AI_A_a0,chain_U_AI_A_a1,chain_U_AI_B_a0,chain_U_AI_B_a1,chain_P_A_a0_A,chain_P_A_a0_B,chain_P_A_a1_A,chain_P_A_a1_B,chain_P_B_a0_A,chain_P_B_a0_B,chain_P_B_a1_A,chain_P_B_a1_B,Uhat_H_realized_final,Uhat_AI_realized_final,Uhat_coal_final,Vhat_A_final,Vhat_B_final,Vhat_coal_final,reward_structural_final,reward_structural_mean,f_H_final,f_AI_final,f_agree,f_ctx,f_disagree,state_A_freq,state_B_freq,n_replicates,D_JS_final_mean,D_JS_final_sd,absdiff_A_final_mean,absdiff_A_final_sd,absdiff_B_final_mean,absdiff_B_final_sd,f_H_final_mean,f_H_final_sd,f_AI_final_mean,f_AI_final_sd,f_agree_mean,f_agree_sd,f_ctx_mean,f_ctx_sd,f_disagree_mean,f_disagree_sd,reward_structural_mean_across_runs,reward_structural_sd_across_runs,plot_prefix,plot1_a0_file,plot1_a1_file,plot2_file,plot3_file
scenario1,200,scenario1__H200__eta-constant__states-endogenous,cfg_09cebf682c97276407ab,constant,constant_eta0_0p15,False,0.35,0.85,0.15,,0.02,0.25,,,A,opposed_binary_state_preferences_v1,binary_stay_switch_a0_0p1_a1_0p9_v1,run_2bbe80e0e1c6d455,1,42,1.464800503114816e-14,1.0348207499233375e-09,1.2420620087993939e-14,0.042222342091737565,0.04222219226461394,5.383071984499388e-06,1.6406967895399305e-08,0.9949270635936924,0.9949216805217079,0.9961024720653523,0.9961024884723202,0.9949270635936924,0.0050729364063076795,0.9961024720653523,0.0038975279346477178,0.9949216805217079,0.005078319478292032,0.9961024884723202,0.0038975115276798245,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9,0.1,0.09999999999999998,0.9,0.1,0.9,0.9,0.09999999999999998,0.0,0.5092699530495672,0.5092699530495672,0.04166714326699701,1.2916666905490737,1.2916666905490737,1.0,0.605,0.03,0.97,0.885,0.105,0.01,0.415,0.585,1,1.464800503114816e-14,0.0,5.383071984499388e-06,0.0,1.6406967895399305e-08,0.0,0.03,0.0,0.97,0.0,0.885,0.0,0.105,0.0,0.01,0.0,0.605,0.0,scenario1__H-200__eta-constant__eta0-0p15__c-NA__random_states-false__pA-NA__alpha_agree-0p35__alpha_disagree-0p85__beta-0p02__gamma-0p25__seed-42__id-d1590d5943,scenario1__H-200__eta-constant__eta0-0p15__c-NA__random_states-false__pA-NA__alpha_agree-0p35__alpha_disagree-0p85__beta-0p02__gamma-0p25__seed-42__id-d1590d5943__plot1_a0.png,scenario1__H-200__eta-constant__eta0-0p15__c-NA__random_states-false__pA-NA__alpha_agree-0p35__alpha_disagree-0p85__beta-0p02__gamma-0p25__seed-42__id-d1590d5943__plot1_a1.png,scenario1__H-200__eta-constant__eta0-0p15__c-NA__random_states-false__pA-NA__alpha_agree-0p35__alpha_disagree-0p85__beta-0p02__gamma-0p25__seed-42__id-d1590d5943__plot2.png,scenario1__H-200__eta-constant__eta0-0p15__c-NA__random_states-false__pA-NA__alpha_agree-0p35__alpha_disagree-0p85__beta-0p02__gamma-0p25__seed-42__id-d1590d5943__plot3.png
scenario1,200,scenario1__H200__eta-constant__states-exogenous,cfg_05dcd430b3e055c29664,constant,constant_eta0_0p15,True,0.35,0.85,0.15,,0.02,0.75,0.99,0.01,A,opposed_binary_state_preferences_v1,binary_stay_switch_a0_0p1_a1_0p9_v1__exogenous,run_99d9d122eae3a9c1,1,42,1.7701680075434e-16,2.3058048349803546e-18,0.47354951662527256,6.806657374957577e-10,6.771287801581113e-10,8.428480825709425e-14,0.705275,1.559110620088689e-11,1.5506821392629795e-11,0.01,0.715275,1.559110620088689e-11,0.9999999999844089,0.01,0.99,1.5506821392629795e-11,0.9999999999844932,0.715275,0.284725,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.99,0.01,0.99,0.01,0.99,0.01,0.99,0.01,0.0,0.9568028282364228,0.9568028282364228,3.99987905036676,3.996410343420429,3.99987905036676,1.0,0.925,0.025,0.975,0.905,0.085,0.01,0.99,0.01,1,1.7701680075434e-16,0.0,8.428480825709425e-14,0.0,0.705275,0.0,0.025,0.0,0.975,0.0,0.905,0.0,0.085,0.0,0.01,0.0,0.925,0.0,scenario1__H-200__eta-constant__eta0-0p15__c-NA__random_states-true__pA-0p99__alpha_agree-0p35__alpha_disagree-0p85__beta-0p02__gamma-0p75__seed-42__id-fe621cf9de,scenario1__H-200__eta-constant__eta0-0p15__c-NA__random_states-true__pA-0p99__alpha_agree-0p35__alpha_disagree-0p85__beta-0p02__gamma-0p75__seed-42__id-fe621cf9de__plot1_a0.png,scenario1__H-200__eta-constant__eta0-0p15__c-NA__random_states-true__pA-0p99__alpha_agree-0p35__alpha_disagree-0p85__beta-0p02__gamma-0p75__seed-42__id-fe621cf9de__plot1_a1.png,scenario1__H-200__eta-constant__eta0-0p15__c-NA__random_states-true__pA-0p99__alpha_agree-0p35__alpha_disagree-0p85__beta-0p02__gamma-0p75__seed-42__id-fe621cf9de__plot2.png,scenario1__H-200__eta-constant__eta0-0p15__c-NA__random_states-true__pA-0p99__alpha_agree-0p35__alpha_disagree-0p85__beta-0p02__gamma-0p75__seed-42__id-fe621cf9de__plot3.png
scenario1,200,scenario1__H200__eta-exact_empirical__states-endogenous,cfg_01667bf3b8163604afe1,exact_empirical,exact_empirical,False,0.2,0.35,,,0.05,0.5,,,A,opposed_binary_state_preferences_v1,binary_stay_switch_a0_0p1_a1_0p9_v1,run_426e178132511f80,1,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9,0.1,0.09999999999999998,0.9,0.1,0.9,0.9,0.09999999999999998,1.8448771709909835e-06,0.881758488531438,0.881758488531438,6.811231173261372e-16,1.5456113594439722e-15,6.811231173261372e-16,0.0,0.01,0.01,0.99,0.99,0.0,0.01,0.915,0.085,1,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.99,0.0,0.99,0.0,0.0,0.0,0.01,0.0,0.01,0.0,scenario1__H-200__eta-exact_empirical__eta0-NA__c-NA__random_states-false__pA-NA__alpha_agree-0p2__alpha_disagree-0p35__beta-0p05__gamma-0p5__seed-42__id-9610b0bbb0,scenario1__H-200__eta-exact_empirical__eta0-NA__c-NA__random_states-false__pA-NA__alpha_agree-0p2__alpha_disagree-0p35__beta-0p05__gamma-0p5__seed-42__id-9610b0bbb0__plot1_a0.png,scenario1__H-200__eta-exact_empirical__eta0-NA__c-NA__random_states-false__pA-NA__alpha_agree-0p2__alpha_disagree-0p35__beta-0p05__gamma-0p5__seed-42__id-9610b0bbb0__plot1_a1.png,scenario1__H-200__eta-exact_empirical__eta0-NA__c-NA__random_states-false__pA-NA__alpha_agree-0p2__alpha_disagree-0p35__beta-0p05__gamma-0p5__seed-42__id-9610b0bbb0__plot2.png,scenario1__H-200__eta-exact_empirical__eta0-NA__c-NA__random_states-false__pA-NA__alpha_agree-0p2__alpha_disagree-0p35__beta-0p05__gamma-0p5__seed-42__id-9610b0bbb0__plot3.png
scenario1,200,scenario1__H200__eta-exact_empirical__states-exogenous,cfg_0042d33e8480cdbfb328,exact_empirical,exact_empirical,True,0.35,0.85,,,0.1,0.9,0.1,0.9,B,opposed_binary_state_preferences_v1,binary_stay_switch_a0_0p1_a1_0p9_v1__exogenous,run_cd810dac14f6d7fb,1,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.1,0.9,0.1,0.9,0.1,0.9,0.1,0.9,7.83897678739485e-11,0.8584825084874836,0.8584825084874836,3.769060994109935e-05,3.4986061827788894e-05,3.4986061827788894e-05,0.0,0.01,0.01,0.99,0.99,0.0,0.01,0.09,0.91,1,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.99,0.0,0.99,0.0,0.0,0.0,0.01,0.0,0.01,0.0,scenario1__H-200__eta-exact_empirical__eta0-NA__c-NA__random_states-true__pA-0p1__alpha_agree-0p35__alpha_disagree-0p85__beta-0p1__gamma-0p9__seed-42__id-f93af1fed9,scenario1__H-200__eta-exact_empirical__eta0-NA__c-NA__random_states-true__pA-0p1__alpha_agree-0p35__alpha_disagree-0p85__beta-0p1__gamma-0p9__seed-42__id-f93af1fed9__plot1_a0.png,scenario1__H-200__eta-exact_empirical__eta0-NA__c-NA__random_states-true__pA-0p1__alpha_agree-0p35__alpha_disagree-0p85__beta-0p1__gamma-0p9__seed-42__id-f93af1fed9__plot1_a1.png,scenario1__H-200__eta-exact_empirical__eta0-NA__c-NA__random_states-true__pA-0p1__alpha_agree-0p35__alpha_disagree-0p85__beta-0p1__gamma-0p9__seed-42__id-f93af1fed9__plot2.png,scenario1__H-200__eta-exact_empirical__eta0-NA__c-NA__random_states-true__pA-0p1__alpha_agree-0p35__alpha_disagree-0p85__beta-0p1__gamma-0p9__seed-42__id-f93af1fed9__plot3.png
scenario1,200,scenario1__H200__eta-global_decay__states-endogenous,cfg_0739fea987606a25da0a,global_decay,global_decay_eta0_0p15_c_0p0005,False,0.35,0.85,0.15,0.0005,0.02,0.75,,,A,opposed_binary_state_preferences_v1,binary_stay_switch_a0_0p1_a1_0p9_v1,run_a29d33a380df7770,1,42,2.67841304690819e-14,2.5511265322464283e-10,4.551914400963142e-15,0.20530674286393452,0.20530640864431982,7.719525055294163e-06,5.879197551017512e-08,0.955937621070699,0.9559299015456437,0.8358274083776743,0.8358274671696498,0.955937621070699,0.04406237892930104,0.8358274083776743,0.16417259162232575,0.9559299015456437,0.04407009845435623,0.8358274671696498,0.16417253283035016,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9,0.1,0.09999999999999998,0.9,0.1,0.9,0.9,0.09999999999999998,0.00125879449351365,0.09378410796804101,0.09378410796804101,0.9539300982696632,3.3820740167393195,3.3820740167393195,0.0,0.595,0.03,0.97,0.885,0.105,0.01,0.425,0.575,1,2.67841304690819e-14,0.0,7.719525055294163e-06,0.0,5.879197551017512e-08,0.0,0.03,0.0,0.97,0.0,0.885,0.0,0.105,0.0,0.01,0.0,0.595,0.0,scenario1__H-200__eta-global_decay__eta0-0p15__c-0p0005__random_states-false__pA-NA__alpha_agree-0p35__alpha_disagree-0p85__beta-0p02__gamma-0p75__seed-42__id-f7e17c8044,scenario1__H-200__eta-global_decay__eta0-0p15__c-0p0005__random_states-false__pA-NA__alpha_agree-0p35__alpha_disagree-0p85__beta-0p02__gamma-0p75__seed-42__id-f7e17c8044__plot1_a0.png,scenario1__H-200__eta-global_decay__eta0-0p15__c-0p0005__random_states-false__pA-NA__alpha_agree-0p35__alpha_disagree-0p85__beta-0p02__gamma-0p75__seed-42__id-f7e17c8044__plot1_a1.png,scenario1__H-200__eta-global_decay__eta0-0p15__c-0p0005__random_states-false__pA-NA__alpha_agree-0p35__alpha_disagree-0p85__beta-0p02__gamma-0p75__seed-42__id-f7e17c8044__plot2.png,scenario1__H-200__eta-global_decay__eta0-0p15__c-0p0005__random_states-false__pA-NA__alpha_agree-0p35__alpha_disagree-0p85__beta-0p02__gamma-0p75__seed-42__id-f7e17c8044__plot3.png
scenario1,200,scenario1__H200__eta-global_decay__states-exogenous,cfg_3734ec426b4dcce1d840,global_decay,global_decay_eta0_0p15_c_0p0005,True,0.35,0.85,0.15,0.0005,0.1,0.1,0.99,0.01,A,opposed_binary_state_preferences_v1,binary_stay_switch_a0_0p1_a1_0p9_v1__exogenous,run_8e3a03a8d67ee4bf,1,42,5.231588456367076e-16,4.518190033976757e-16,0.4890301509750642,2.9576019590282384e-09,2.941034738629393e-09,4.2758452939736915e-13,0.7195339627846546,7.318720328695352e-11,7.275961875755615e-11,0.01,0.7295339627846547,7.318720328695352e-11,0.9999999999268128,0.01,0.99,7.275961875755615e-11,0.9999999999272404,0.7295339627846547,0.27046603721534535,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.99,0.01,0.99,0.01,0.99,0.01,0.99,0.01,0.0,0.9849904440221094,0.9849904440221094,1.1111111095920225,1.1111097424122414,1.1111111095920225,1.0,0.92,0.025,0.975,0.905,0.085,0.01,0.99,0.01,1,5.231588456367076e-16,0.0,4.2758452939736915e-13,0.0,0.7195339627846546,0.0,0.025,0.0,0.975,0.0,0.905,0.0,0.085,0.0,0.01,0.0,0.92,0.0,scenario1__H-200__eta-global_decay__eta0-0p15__c-0p0005__random_states-true__pA-0p99__alpha_agree-0p35__alpha_disagree-0p85__beta-0p1__gamma-0p1__seed-42__id-4b58d0c250,scenario1__H-200__eta-global_decay__eta0-0p15__c-0p0005__random_states-true__pA-0p99__alpha_agree-0p35__alpha_disagree-0p85__beta-0p1__gamma-0p1__seed-42__id-4b58d0c250__plot1_a0.png,scenario1__H-200__eta-global_decay__eta0-0p15__c-0p0005__random_states-true__pA-0p99__alpha_agree-0p35__alpha_disagree-0p85__beta-0p1__gamma-0p1__seed-42__id-4b58d0c250__plot1_a1.png,scenario1__H-200__eta-global_decay__eta0-0p15__c-0p0005__random_states-true__pA-0p99__alpha_agree-0p35__alpha_disagree-0p85__beta-0p1__gamma-0p1__seed-42__id-4b58d0c250__plot2.png,scenario1__H-200__eta-global_decay__eta0-0p15__c-0p0005__random_states-true__pA-0p99__alpha_agree-0p35__alpha_disagree-0p85__beta-0p1__gamma-0p1__seed-42__id-4b58d0c250__plot3.png
