scenario,H,winner_group_id,config_id,eta_kind,eta_label,random_states,alpha_agree,alpha_disagree,eta0,c,beta,gamma,pA,pB,initial_state,utility_spec_id,transition_spec_id,representative_run_id,representative_replicate,representative_seed,D_JS_final,D_JS_A_final,D_JS_B_final,Sh_entr_H_final,Sh_entr_AI_final,absdiff_A_final,absdiff_B_final,p_H_A_final,p_AI_A_final,p_H_B_final,p_AI_B_final,chain_p_H_A_a0,chain_p_H_A_a1,chain_p_H_B_a0,chain_p_H_B_a1,chain_p_AI_A_a0,chain_p_AI_A_a1,chain_p_AI_B_a0,chain_p_AI_B_a1,chain_U_H_A_a0,chain_U_H_A_a1,chain_U_H_B_a0,chain_U_H_B_a1,chain_U_AI_A_a0,chain_U_AI_A_a1,chain_U_AI_B_a0,chain_U_AI_B_a1,chain_P_A_a0_A,chain_P_A_a0_B,chain_P_A_a1_A,chain_P_A_a1_B,chain_P_B_a0_A,chain_P_B_a0_B,chain_P_B_a1_A,chain_P_B_a1_B,Uhat_H_realized_final,Uhat_AI_realized_final,Uhat_coal_final,Vhat_A_final,Vhat_B_final,Vhat_coal_final,reward_structural_final,reward_structural_mean,f_H_final,f_AI_final,f_agree,f_ctx,f_disagree,state_A_freq,state_B_freq,n_replicates,D_JS_final_mean,D_JS_final_sd,absdiff_A_final_mean,absdiff_A_final_sd,absdiff_B_final_mean,absdiff_B_final_sd,f_H_final_mean,f_H_final_sd,f_AI_final_mean,f_AI_final_sd,f_agree_mean,f_agree_sd,f_ctx_mean,f_ctx_sd,f_disagree_mean,f_disagree_sd,reward_structural_mean_across_runs,reward_structural_sd_across_runs,plot_prefix,plot1_a0_file,plot1_a1_file,plot2_file,plot3_file
scenario1,50000,scenario1__H50000__eta-constant__states-endogenous,cfg_00c65d88c3eefec841a0,constant,constant_eta0_0p025,False,0.35,0.51,0.025,,0.05,0.1,,,A,opposed_binary_state_preferences_v1,binary_stay_switch_a0_0p1_a1_0p9_v1,run_8e0bf2178fc0e90c,1,42,0.0,0.0,0.0,9.739810396302653e-210,9.739810396302653e-210,0.0,0.0,2.3372193182909703e-225,2.3372193182909703e-225,1.3493300907838508e-212,1.3493300907838508e-212,2.3372193182909703e-225,1.0,1.3493300907838508e-212,1.0,2.3372193182909703e-225,1.0,1.3493300907838508e-212,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9,0.1,0.09999999999999998,0.9,0.1,0.9,0.9,0.09999999999999998,4.4e-323,0.49786532844713927,0.49786532844713927,1.0185185185185186,0.09259259259259262,0.09259259259259262,0.0,0.49774,0.00074,0.99926,0.99818,0.00134,0.00048,0.50128,0.49872,1,0.0,0.0,0.0,0.0,0.0,0.0,0.00074,0.0,0.99926,0.0,0.99818,0.0,0.00134,0.0,0.00048,0.0,0.49774,0.0,scenario1__H-50000__eta-constant__eta0-0p025__c-NA__random_states-false__pA-NA__alpha_agree-0p35__alpha_disagree-0p51__beta-0p05__gamma-0p1__seed-42__id-ade0a98452,scenario1__H-50000__eta-constant__eta0-0p025__c-NA__random_states-false__pA-NA__alpha_agree-0p35__alpha_disagree-0p51__beta-0p05__gamma-0p1__seed-42__id-ade0a98452__plot1_a0.png,scenario1__H-50000__eta-constant__eta0-0p025__c-NA__random_states-false__pA-NA__alpha_agree-0p35__alpha_disagree-0p51__beta-0p05__gamma-0p1__seed-42__id-ade0a98452__plot1_a1.png,scenario1__H-50000__eta-constant__eta0-0p025__c-NA__random_states-false__pA-NA__alpha_agree-0p35__alpha_disagree-0p51__beta-0p05__gamma-0p1__seed-42__id-ade0a98452__plot2.png,scenario1__H-50000__eta-constant__eta0-0p025__c-NA__random_states-false__pA-NA__alpha_agree-0p35__alpha_disagree-0p51__beta-0p05__gamma-0p1__seed-42__id-ade0a98452__plot3.png
scenario1,50000,scenario1__H50000__eta-constant__states-exogenous,cfg_00a713ec9cc593c98049,constant,constant_eta0_0p08,True,0.2,0.35,0.08,,0.02,0.1,0.7,0.3,B,opposed_binary_state_preferences_v1,binary_stay_switch_a0_0p1_a1_0p9_v1__exogenous,run_6f5062025d29b413,1,42,0.0,0.0,0.0,3.176e-320,3.176e-320,0.0,0.0,1.0,1.0,3e-323,3e-323,1.0,3e-323,3e-323,1.0,1.0,3e-323,3e-323,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.7,0.3,0.7,0.3,0.7,0.3,0.7,0.3,1.2e-322,0.6672270451339081,0.6672270451339081,0.0,0.0,0.0,0.0,0.0018,0.00058,0.99942,0.9986,0.00112,0.00028,0.7012,0.2988,1,0.0,0.0,0.0,0.0,0.0,0.0,0.00058,0.0,0.99942,0.0,0.9986,0.0,0.00112,0.0,0.00028,0.0,0.0018,0.0,scenario1__H-50000__eta-constant__eta0-0p08__c-NA__random_states-true__pA-0p7__alpha_agree-0p2__alpha_disagree-0p35__beta-0p02__gamma-0p1__seed-42__id-d0c97a8d50,scenario1__H-50000__eta-constant__eta0-0p08__c-NA__random_states-true__pA-0p7__alpha_agree-0p2__alpha_disagree-0p35__beta-0p02__gamma-0p1__seed-42__id-d0c97a8d50__plot1_a0.png,scenario1__H-50000__eta-constant__eta0-0p08__c-NA__random_states-true__pA-0p7__alpha_agree-0p2__alpha_disagree-0p35__beta-0p02__gamma-0p1__seed-42__id-d0c97a8d50__plot1_a1.png,scenario1__H-50000__eta-constant__eta0-0p08__c-NA__random_states-true__pA-0p7__alpha_agree-0p2__alpha_disagree-0p35__beta-0p02__gamma-0p1__seed-42__id-d0c97a8d50__plot2.png,scenario1__H-50000__eta-constant__eta0-0p08__c-NA__random_states-true__pA-0p7__alpha_agree-0p2__alpha_disagree-0p35__beta-0p02__gamma-0p1__seed-42__id-d0c97a8d50__plot3.png
scenario1,50000,scenario1__H50000__eta-exact_empirical__states-endogenous,cfg_02cfe00f29f7ab3019f4,exact_empirical,exact_empirical,False,0.2,0.51,,,0.02,0.5,,,A,opposed_binary_state_preferences_v1,binary_stay_switch_a0_0p1_a1_0p9_v1,run_6612dcbb20a01f97,1,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9,0.1,0.09999999999999998,0.9,0.1,0.9,0.9,0.09999999999999998,1.2e-322,0.8715463903874853,0.8715463903874853,0.0,0.0,0.0,0.0,4e-05,4e-05,0.99996,0.99996,0.0,4e-05,0.89878,0.10122,1,0.0,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.99996,0.0,0.99996,0.0,0.0,0.0,4e-05,0.0,4e-05,0.0,scenario1__H-50000__eta-exact_empirical__eta0-NA__c-NA__random_states-false__pA-NA__alpha_agree-0p2__alpha_disagree-0p51__beta-0p02__gamma-0p5__seed-42__id-8c8e9d0b76,scenario1__H-50000__eta-exact_empirical__eta0-NA__c-NA__random_states-false__pA-NA__alpha_agree-0p2__alpha_disagree-0p51__beta-0p02__gamma-0p5__seed-42__id-8c8e9d0b76__plot1_a0.png,scenario1__H-50000__eta-exact_empirical__eta0-NA__c-NA__random_states-false__pA-NA__alpha_agree-0p2__alpha_disagree-0p51__beta-0p02__gamma-0p5__seed-42__id-8c8e9d0b76__plot1_a1.png,scenario1__H-50000__eta-exact_empirical__eta0-NA__c-NA__random_states-false__pA-NA__alpha_agree-0p2__alpha_disagree-0p51__beta-0p02__gamma-0p5__seed-42__id-8c8e9d0b76__plot2.png,scenario1__H-50000__eta-exact_empirical__eta0-NA__c-NA__random_states-false__pA-NA__alpha_agree-0p2__alpha_disagree-0p51__beta-0p02__gamma-0p5__seed-42__id-8c8e9d0b76__plot3.png
scenario1,50000,scenario1__H50000__eta-exact_empirical__states-exogenous,cfg_004a851a6e47c5d60ced,exact_empirical,exact_empirical,True,0.7,0.85,,,0.1,0.75,0.3,0.7,B,opposed_binary_state_preferences_v1,binary_stay_switch_a0_0p1_a1_0p9_v1__exogenous,run_463ad586b115a13d,1,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.3,0.7,0.3,0.7,0.3,0.7,0.3,0.7,2.5e-323,0.44565086965522016,0.44565086965522016,1e-323,1e-323,1e-323,0.0,4e-05,4e-05,0.99996,0.99996,0.0,4e-05,0.29906,0.70094,1,0.0,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.99996,0.0,0.99996,0.0,0.0,0.0,4e-05,0.0,4e-05,0.0,scenario1__H-50000__eta-exact_empirical__eta0-NA__c-NA__random_states-true__pA-0p3__alpha_agree-0p7__alpha_disagree-0p85__beta-0p1__gamma-0p75__seed-42__id-867961f60c,scenario1__H-50000__eta-exact_empirical__eta0-NA__c-NA__random_states-true__pA-0p3__alpha_agree-0p7__alpha_disagree-0p85__beta-0p1__gamma-0p75__seed-42__id-867961f60c__plot1_a0.png,scenario1__H-50000__eta-exact_empirical__eta0-NA__c-NA__random_states-true__pA-0p3__alpha_agree-0p7__alpha_disagree-0p85__beta-0p1__gamma-0p75__seed-42__id-867961f60c__plot1_a1.png,scenario1__H-50000__eta-exact_empirical__eta0-NA__c-NA__random_states-true__pA-0p3__alpha_agree-0p7__alpha_disagree-0p85__beta-0p1__gamma-0p75__seed-42__id-867961f60c__plot2.png,scenario1__H-50000__eta-exact_empirical__eta0-NA__c-NA__random_states-true__pA-0p3__alpha_agree-0p7__alpha_disagree-0p85__beta-0p1__gamma-0p75__seed-42__id-867961f60c__plot3.png
scenario1,50000,scenario1__H50000__eta-global_decay__states-endogenous,cfg_00f81ac138c61d031b5a,global_decay,global_decay_eta0_0p15_c_0p001,False,0.2,0.85,0.15,0.001,0.02,0.9,,,A,opposed_binary_state_preferences_v1,binary_stay_switch_a0_0p1_a1_0p9_v1,run_5ea8dc45cb70753f,1,42,0.0,0.0,0.0,1.5466112506033859e-211,1.5466112507584944e-211,0.0,0.0,1.0,1.0,3.384373598306733e-19,3.384373598306733e-19,1.0,2.1726259688196324e-214,3.384373598306733e-19,1.0,1.0,2.1726259690379677e-214,3.384373598306733e-19,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9,0.1,0.09999999999999998,0.9,0.1,0.9,0.9,0.09999999999999998,1.2e-322,0.8715463903874853,0.8715463903874853,2.5e-323,2.5e-323,2.5e-323,0.0,0.00528,0.00024,0.99976,0.99836,0.0016,4e-05,0.89446,0.10554,1,0.0,0.0,0.0,0.0,0.0,0.0,0.00024,0.0,0.99976,0.0,0.99836,0.0,0.0016,0.0,4e-05,0.0,0.00528,0.0,scenario1__H-50000__eta-global_decay__eta0-0p15__c-0p001__random_states-false__pA-NA__alpha_agree-0p2__alpha_disagree-0p85__beta-0p02__gamma-0p9__seed-42__id-a141877592,scenario1__H-50000__eta-global_decay__eta0-0p15__c-0p001__random_states-false__pA-NA__alpha_agree-0p2__alpha_disagree-0p85__beta-0p02__gamma-0p9__seed-42__id-a141877592__plot1_a0.png,scenario1__H-50000__eta-global_decay__eta0-0p15__c-0p001__random_states-false__pA-NA__alpha_agree-0p2__alpha_disagree-0p85__beta-0p02__gamma-0p9__seed-42__id-a141877592__plot1_a1.png,scenario1__H-50000__eta-global_decay__eta0-0p15__c-0p001__random_states-false__pA-NA__alpha_agree-0p2__alpha_disagree-0p85__beta-0p02__gamma-0p9__seed-42__id-a141877592__plot2.png,scenario1__H-50000__eta-global_decay__eta0-0p15__c-0p001__random_states-false__pA-NA__alpha_agree-0p2__alpha_disagree-0p85__beta-0p02__gamma-0p9__seed-42__id-a141877592__plot3.png
scenario1,50000,scenario1__H50000__eta-global_decay__states-exogenous,cfg_00227b8b9e1e4cc3b88c,global_decay,global_decay_eta0_0p1_c_0p002,True,0.49,0.85,0.1,0.002,0.1,0.5,0.3,0.7,B,opposed_binary_state_preferences_v1,binary_stay_switch_a0_0p1_a1_0p9_v1__exogenous,run_54ba7d2a85d92f4f,1,42,0.0,0.0,1.950655485696726e-72,0.2443778037932077,0.2443778037932077,0.0,0.0,0.9595843258115909,0.9595843258115909,1.0,1.0,0.9595843258115909,0.040415674188409155,1.0,2.6432007795347134e-71,0.9595843258115909,0.040415674188409155,1.0,1.2156853384188739e-71,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.3,0.7,0.3,0.7,0.3,0.7,0.3,0.7,2.5e-323,0.44565086965521516,0.44565086965521516,0.7833941732719419,1.8511767676346118,0.7833941732719419,0.0,0.71692,0.00012,0.99988,0.99946,0.0005,4e-05,0.29906,0.70094,1,0.0,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.99988,0.0,0.99946,0.0,0.0005,0.0,4e-05,0.0,0.71692,0.0,scenario1__H-50000__eta-global_decay__eta0-0p1__c-0p002__random_states-true__pA-0p3__alpha_agree-0p49__alpha_disagree-0p85__beta-0p1__gamma-0p5__seed-42__id-b51159e288,scenario1__H-50000__eta-global_decay__eta0-0p1__c-0p002__random_states-true__pA-0p3__alpha_agree-0p49__alpha_disagree-0p85__beta-0p1__gamma-0p5__seed-42__id-b51159e288__plot1_a0.png,scenario1__H-50000__eta-global_decay__eta0-0p1__c-0p002__random_states-true__pA-0p3__alpha_agree-0p49__alpha_disagree-0p85__beta-0p1__gamma-0p5__seed-42__id-b51159e288__plot1_a1.png,scenario1__H-50000__eta-global_decay__eta0-0p1__c-0p002__random_states-true__pA-0p3__alpha_agree-0p49__alpha_disagree-0p85__beta-0p1__gamma-0p5__seed-42__id-b51159e288__plot2.png,scenario1__H-50000__eta-global_decay__eta0-0p1__c-0p002__random_states-true__pA-0p3__alpha_agree-0p49__alpha_disagree-0p85__beta-0p1__gamma-0p5__seed-42__id-b51159e288__plot3.png
