scenario,H,winner_group_id,config_id,run_id,replicate,seed,selection_rank,is_selected,alpha_agree,alpha_disagree,eta_kind,eta_label,eta0,c,beta,gamma,random_states,pA,pB,initial_state,utility_spec_id,transition_spec_id,p_H_A_init,p_AI_A_init,p_H_B_init,p_AI_B_init,D_JS_mean,D_JS_final,D_JS_A_final,D_JS_B_final,Sh_entr_H_mean,Sh_entr_AI_mean,Sh_entr_H_final,Sh_entr_AI_final,p_H_A_final,p_AI_A_final,p_H_B_final,p_AI_B_final,absdiff_A_final,absdiff_B_final,reward_structural_final,reward_structural_mean,reward_structural_cumulative,Uhat_H_realized_final,Uhat_AI_realized_final,Uhat_coal_final,Vhat_A_final,Vhat_B_final,Vhat_coal_final,n_H_exec,n_AI_exec,f_H_final,f_AI_final,n_agree,n_ctx,n_disagree,f_agree,f_ctx,f_disagree,ctx_prob_H_mean,ctx_prob_AI_mean,ctx_prob_H_final,ctx_prob_AI_final,n_H_ctx,n_AI_ctx,f_H_ctx,f_AI_ctx,n_state_A,n_state_B,state_A_freq,state_B_freq,N_H_A_a0_final,N_H_A_a1_final,N_H_B_a0_final,N_H_B_a1_final,N_AI_A_a0_final,N_AI_A_a1_final,N_AI_B_a0_final,N_AI_B_a1_final,chain_p_H_A_a0,chain_p_H_A_a1,chain_p_H_B_a0,chain_p_H_B_a1,chain_p_AI_A_a0,chain_p_AI_A_a1,chain_p_AI_B_a0,chain_p_AI_B_a1,chain_U_H_A_a0,chain_U_H_A_a1,chain_U_H_B_a0,chain_U_H_B_a1,chain_U_AI_A_a0,chain_U_AI_A_a1,chain_U_AI_B_a0,chain_U_AI_B_a1,chain_P_A_a0_A,chain_P_A_a0_B,chain_P_A_a1_A,chain_P_A_a1_B,chain_P_B_a0_A,chain_P_B_a0_B,chain_P_B_a1_A,chain_P_B_a1_B,state_final,a_H_final,a_AI_final,a_star_final,owner_final,lambda_final,regime_final
scenario1,50000,scenario1__H50000__eta-constant__states-endogenous,cfg_00c65d88c3eefec841a0,run_8e0bf2178fc0e90c,1,42,1,True,0.35,0.51,constant,constant_eta0_0p025,0.025,,0.05,0.1,False,,,A,opposed_binary_state_preferences_v1,binary_stay_switch_a0_0p1_a1_0p9_v1,0.99,0.01,0.01,0.99,0.0010943977708549415,0.0,0.0,0.0,0.18390005295907916,0.18569480223361876,9.739810396302653e-210,9.739810396302653e-210,2.3372193182909703e-225,2.3372193182909703e-225,1.3493300907838508e-212,1.3493300907838508e-212,0.0,0.0,0.0,0.49774,24887.0,4.4e-323,0.49786532844713927,0.49786532844713927,1.0185185185185186,0.09259259259259262,0.09259259259259262,37,49963,0.00074,0.99926,49909,67,24,0.99818,0.00134,0.00048,0.38229998728906744,0.6177000127109324,0.05013059262589797,0.9498694073741021,13,54,0.19402985074626866,0.8059701492537313,25064,24936,0.50128,0.49872,2361,22676,2142,22730,2384,22680,2170,22766,2.3372193182909703e-225,1.0,1.3493300907838508e-212,1.0,2.3372193182909703e-225,1.0,1.3493300907838508e-212,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9,0.1,0.09999999999999998,0.9,0.1,0.9,0.9,0.09999999999999998,B,a1,a1,a1,AI,0,agreement
scenario1,50000,scenario1__H50000__eta-constant__states-endogenous,cfg_02314cb16d66c6001243,run_56bbeef46c2f1fe8,1,42,2,False,0.2,0.51,constant,constant_eta0_0p1,0.1,,0.05,0.5,False,,,A,opposed_binary_state_preferences_v1,binary_stay_switch_a0_0p1_a1_0p9_v1,0.99,0.01,0.01,0.99,0.00045528500508450106,0.0,0.0,0.0,0.012089627885306365,0.013340193594557754,2.647e-320,2.647e-320,2.5e-323,2.5e-323,2.5e-323,2.5e-323,0.0,0.0,0.0,0.50172,25086.0,4.4e-323,0.49786532844713927,0.49786532844713927,1.3571428571428572,0.6428571428571429,0.6428571428571429,16,49984,0.00032,0.99968,49939,55,6,0.99878,0.0011,0.00012,0.34091422519269576,0.6590857748073039,0.03873732639456816,0.9612626736054318,10,45,0.18181818181818182,0.8181818181818182,24915,25085,0.4983,0.5017,113,24789,259,24778,124,24791,279,24806,2.5e-323,1.0,2.5e-323,1.0,2.5e-323,1.0,2.5e-323,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9,0.1,0.09999999999999998,0.9,0.1,0.9,0.9,0.09999999999999998,B,a1,a1,a1,AI,0,agreement
scenario1,50000,scenario1__H50000__eta-constant__states-endogenous,cfg_036a7e6b6b062f1378d5,run_38e1f7ea327b10c2,1,42,3,False,0.49,0.51,constant,constant_eta0_0p1,0.1,,0.05,0.5,False,,,A,opposed_binary_state_preferences_v1,binary_stay_switch_a0_0p1_a1_0p9_v1,0.99,0.01,0.01,0.99,0.00018025823073127987,0.0,0.0,0.0,0.012699408127307072,0.012676875742506281,2.647e-320,2.647e-320,2.5e-323,2.5e-323,2.5e-323,2.5e-323,0.0,0.0,0.0,0.5023,25115.0,4.4e-323,0.49786532844713927,0.49786532844713927,1.3571428571428572,0.6428571428571429,0.6428571428571429,6,49994,0.00012,0.99988,49994,0,6,0.99988,0.0,0.00012,,,,,0,0,,,24872,25128,0.49744,0.50256,98,24771,338,24787,101,24771,338,24790,2.5e-323,1.0,2.5e-323,1.0,2.5e-323,1.0,2.5e-323,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9,0.1,0.09999999999999998,0.9,0.1,0.9,0.9,0.09999999999999998,B,a1,a1,a1,AI,0,agreement
scenario1,50000,scenario1__H50000__eta-constant__states-endogenous,cfg_04bd58021a496d905329,run_dbb72e026da01958,1,42,4,False,0.2,0.85,constant,constant_eta0_0p08,0.08,,0.1,0.25,False,,,A,opposed_binary_state_preferences_v1,binary_stay_switch_a0_0p1_a1_0p9_v1,0.99,0.01,0.01,0.99,0.00144825070433711,0.0,0.0,0.0,0.013829060393128922,0.017210893760049327,3.176e-320,3.176e-320,3e-323,3e-323,3e-323,3e-323,0.0,0.0,0.0,0.49822,24911.0,2.5e-323,0.4958203013038204,0.4958203013038204,1.0833333333333333,0.25,0.25,11,49989,0.00022,0.99978,49818,180,2,0.99636,0.0036,4e-05,0.27670711151577343,0.7232928884842263,0.015312466294822134,0.9846875337051779,9,171,0.05,0.95,25036,24964,0.50072,0.49928,232,24743,60,24783,266,24770,130,24834,3e-323,1.0,3e-323,1.0,3e-323,1.0,3e-323,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9,0.1,0.09999999999999998,0.9,0.1,0.9,0.9,0.09999999999999998,B,a1,a1,a1,AI,0,agreement
scenario1,50000,scenario1__H50000__eta-constant__states-endogenous,cfg_04e3538025c96f782818,run_67177afd60e9ef12,1,42,5,False,0.35,0.85,constant,constant_eta0_0p1,0.1,,0.1,0.5,False,,,A,opposed_binary_state_preferences_v1,binary_stay_switch_a0_0p1_a1_0p9_v1,0.99,0.01,0.01,0.99,0.0005361719925940036,0.0,0.0,0.0,0.012207068151053093,0.012937119138494498,2.647e-320,2.647e-320,2.5e-323,2.5e-323,2.5e-323,2.5e-323,0.0,0.0,0.0,0.50218,25109.0,2.5e-323,0.4958203013038204,0.4958203013038204,1.3571428571428572,0.6428571428571429,0.6428571428571429,6,49994,0.00012,0.99988,49953,45,2,0.99906,0.0009,4e-05,0.28548983363596714,0.7145101663640328,0.08651371558373344,0.9134862844162666,4,41,0.08888888888888889,0.9111111111111111,24879,25121,0.49758,0.50242,95,24771,306,24781,103,24776,327,24794,2.5e-323,1.0,2.5e-323,1.0,2.5e-323,1.0,2.5e-323,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9,0.1,0.09999999999999998,0.9,0.1,0.9,0.9,0.09999999999999998,B,a1,a1,a1,AI,0,agreement
scenario1,50000,scenario1__H50000__eta-constant__states-endogenous,cfg_04fc9d4734b4010a218d,run_215e5ed461db53b8,1,42,6,False,0.2,0.35,constant,constant_eta0_0p025,0.025,,0.1,0.1,False,,,A,opposed_binary_state_preferences_v1,binary_stay_switch_a0_0p1_a1_0p9_v1,0.99,0.01,0.01,0.99,0.0018538295175461793,0.0,0.0,5e-324,0.13431975860752807,0.13986282584939286,8.980509395438688e-89,8.980509395438688e-89,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.7376,36880.0,2.5e-323,0.31480162860394717,0.31480162860394717,0.01207729468599034,1.0990338164251208,0.01207729468599034,76,49924,0.00152,0.99848,49708,250,42,0.99416,0.005,0.00084,0.3562889804780307,0.6437110195219687,0.03881485074808382,0.9611851492519162,34,216,0.136,0.864,15473,34527,0.30946,0.69054,12766,2521,34182,239,12883,2590,34214,313,1.0,2.9117059347917986e-91,1.0,9.4e-323,1.0,2.9117059347917986e-91,1.0,9.4e-323,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9,0.1,0.09999999999999998,0.9,0.1,0.9,0.9,0.09999999999999998,A,a0,a0,a0,AI,0,agreement
scenario1,50000,scenario1__H50000__eta-constant__states-endogenous,cfg_0789d42a757dbf89e0f5,run_0530b45cdf4ba817,1,42,7,False,0.35,0.51,constant,constant_eta0_0p08,0.08,,0.05,0.1,False,,,A,opposed_binary_state_preferences_v1,binary_stay_switch_a0_0p1_a1_0p9_v1,0.99,0.01,0.01,0.99,0.0003305378680382624,0.0,0.0,0.0,0.016716260442118127,0.017261964382489076,3.176e-320,3.176e-320,3e-323,3e-323,3e-323,3e-323,0.0,0.0,0.0,0.49824,24912.0,4.4e-323,0.49786532844713927,0.49786532844713927,1.0185185185185186,0.09259259259259262,0.09259259259259262,15,49985,0.0003,0.9997,49975,17,8,0.9995,0.00034,0.00016,0.4297200122620511,0.5702799877379489,0.20262935016273143,0.7973706498372686,7,10,0.4117647058823529,0.5882352941176471,25037,24963,0.50074,0.49926,258,24765,126,24826,267,24770,129,24834,3e-323,1.0,3e-323,1.0,3e-323,1.0,3e-323,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9,0.1,0.09999999999999998,0.9,0.1,0.9,0.9,0.09999999999999998,B,a1,a1,a1,AI,0,agreement
scenario1,50000,scenario1__H50000__eta-constant__states-endogenous,cfg_08b8dcf4fac9c47bde19,run_e6927fa6f5b4207d,1,42,8,False,0.49,0.51,constant,constant_eta0_0p1,0.1,,0.02,0.1,False,,,A,opposed_binary_state_preferences_v1,binary_stay_switch_a0_0p1_a1_0p9_v1,0.99,0.01,0.01,0.99,0.00018025823073127987,0.0,0.0,0.0,0.012699408127307072,0.012676875742506281,2.647e-320,2.647e-320,2.5e-323,2.5e-323,2.5e-323,2.5e-323,0.0,0.0,0.0,0.5023,25115.0,1.2e-322,0.4974183148994488,0.4974183148994488,1.0185185185185186,0.09259259259259262,0.09259259259259262,6,49994,0.00012,0.99988,49994,0,6,0.99988,0.0,0.00012,,,,,0,0,,,24872,25128,0.49744,0.50256,98,24771,338,24787,101,24771,338,24790,2.5e-323,1.0,2.5e-323,1.0,2.5e-323,1.0,2.5e-323,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9,0.1,0.09999999999999998,0.9,0.1,0.9,0.9,0.09999999999999998,B,a1,a1,a1,AI,0,agreement
scenario1,50000,scenario1__H50000__eta-constant__states-endogenous,cfg_08b92a7ddb4614e90ca4,run_ff2d73bb8708d855,1,42,9,False,0.49,0.85,constant,constant_eta0_0p08,0.08,,0.1,0.5,False,,,A,opposed_binary_state_preferences_v1,binary_stay_switch_a0_0p1_a1_0p9_v1,0.99,0.01,0.01,0.99,0.00046990274881089666,0.0,0.0,0.0,0.01640491239666206,0.01680569717251176,3.176e-320,3.176e-320,3e-323,3e-323,3e-323,3e-323,0.0,0.0,0.0,0.49866,24933.0,2.5e-323,0.4958203013038204,0.4958203013038204,1.3571428571428572,0.6428571428571429,0.6428571428571429,7,49993,0.00014,0.99986,49971,27,2,0.99942,0.00054,4e-05,0.336847155019134,0.663152844980866,0.08449187126293291,0.9155081287370671,5,22,0.18518518518518517,0.8148148148148148,25016,24984,0.50032,0.49968,249,24758,151,24813,254,24762,164,24820,3e-323,1.0,3e-323,1.0,3e-323,1.0,3e-323,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9,0.1,0.09999999999999998,0.9,0.1,0.9,0.9,0.09999999999999998,B,a1,a1,a1,AI,0,agreement
scenario1,50000,scenario1__H50000__eta-constant__states-endogenous,cfg_08ef7ed6643af4a7700d,run_f05be56ed6fad00e,1,42,10,False,0.35,0.85,constant,constant_eta0_0p1,0.1,,0.02,0.25,False,,,A,opposed_binary_state_preferences_v1,binary_stay_switch_a0_0p1_a1_0p9_v1,0.99,0.01,0.01,0.99,0.0005361719925940036,0.0,0.0,0.0,0.012207068151053093,0.012937119138494498,2.647e-320,2.647e-320,2.5e-323,2.5e-323,2.5e-323,2.5e-323,0.0,0.0,0.0,0.50218,25109.0,1.2e-322,0.4974183148994488,0.4974183148994488,1.0833333333333333,0.25,0.25,6,49994,0.00012,0.99988,49953,45,2,0.99906,0.0009,4e-05,0.28548983363596714,0.7145101663640328,0.08651371558373344,0.9134862844162666,4,41,0.08888888888888889,0.9111111111111111,24879,25121,0.49758,0.50242,95,24771,306,24781,103,24776,327,24794,2.5e-323,1.0,2.5e-323,1.0,2.5e-323,1.0,2.5e-323,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9,0.1,0.09999999999999998,0.9,0.1,0.9,0.9,0.09999999999999998,B,a1,a1,a1,AI,0,agreement
