scenario,H,winner_group_id,config_id,eta_kind,eta_label,random_states,alpha_agree,alpha_disagree,eta0,c,beta,gamma,pA,pB,initial_state,utility_spec_id,transition_spec_id,representative_run_id,representative_replicate,representative_seed,D_JS_final,D_JS_A_final,D_JS_B_final,Sh_entr_H_final,Sh_entr_AI_final,absdiff_A_final,absdiff_B_final,p_H_A_final,p_AI_A_final,p_H_B_final,p_AI_B_final,chain_p_H_A_a0,chain_p_H_A_a1,chain_p_H_B_a0,chain_p_H_B_a1,chain_p_AI_A_a0,chain_p_AI_A_a1,chain_p_AI_B_a0,chain_p_AI_B_a1,chain_U_H_A_a0,chain_U_H_A_a1,chain_U_H_B_a0,chain_U_H_B_a1,chain_U_AI_A_a0,chain_U_AI_A_a1,chain_U_AI_B_a0,chain_U_AI_B_a1,chain_P_A_a0_A,chain_P_A_a0_B,chain_P_A_a1_A,chain_P_A_a1_B,chain_P_B_a0_A,chain_P_B_a0_B,chain_P_B_a1_A,chain_P_B_a1_B,Uhat_H_realized_final,Uhat_AI_realized_final,Uhat_coal_final,Vhat_A_final,Vhat_B_final,Vhat_coal_final,reward_structural_final,reward_structural_mean,f_H_final,f_AI_final,f_agree,f_ctx,f_disagree,state_A_freq,state_B_freq,n_replicates,D_JS_final_mean,D_JS_final_sd,absdiff_A_final_mean,absdiff_A_final_sd,absdiff_B_final_mean,absdiff_B_final_sd,f_H_final_mean,f_H_final_sd,f_AI_final_mean,f_AI_final_sd,f_agree_mean,f_agree_sd,f_ctx_mean,f_ctx_sd,f_disagree_mean,f_disagree_sd,reward_structural_mean_across_runs,reward_structural_sd_across_runs,plot_prefix,plot1_a0_file,plot1_a1_file,plot2_file,plot3_file
scenario1,15000,scenario1__H15000__eta-constant__states-endogenous,cfg_0024045b0abd337553f9,constant,constant_eta0_0p05,False,0.35,0.85,0.05,,0.05,0.5,,,A,opposed_binary_state_preferences_v1,binary_stay_switch_a0_0p1_a1_0p9_v1,run_9e52c42990a22270,1,42,0.0,0.0,3.0713790748582522e-238,3.7834332990847854e-47,3.7834332990847854e-47,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.2249051930935993e-49,1.0,3.301633690287133e-225,1.0,2.2249051930935993e-49,1.0,3.301633690097362e-225,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9,0.1,0.09999999999999998,0.9,0.1,0.9,0.9,0.09999999999999998,4.4e-323,0.45667462268425696,0.45667462268425696,0.16666666666666669,1.8333333333333335,0.16666666666666669,0.0,0.7652666666666667,0.0009333333333333333,0.9990666666666667,0.9873333333333333,0.012533333333333334,0.00013333333333333334,0.28846666666666665,0.7115333333333334,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0009333333333333333,0.0,0.9990666666666667,0.0,0.9873333333333333,0.0,0.012533333333333334,0.0,0.00013333333333333334,0.0,0.7652666666666667,0.0,scenario1__H-15000__eta-constant__eta0-0p05__c-NA__random_states-false__pA-NA__alpha_agree-0p35__alpha_disagree-0p85__beta-0p05__gamma-0p5__seed-42__id-39d01ce0a9,scenario1__H-15000__eta-constant__eta0-0p05__c-NA__random_states-false__pA-NA__alpha_agree-0p35__alpha_disagree-0p85__beta-0p05__gamma-0p5__seed-42__id-39d01ce0a9__plot1_a0.png,scenario1__H-15000__eta-constant__eta0-0p05__c-NA__random_states-false__pA-NA__alpha_agree-0p35__alpha_disagree-0p85__beta-0p05__gamma-0p5__seed-42__id-39d01ce0a9__plot1_a1.png,scenario1__H-15000__eta-constant__eta0-0p05__c-NA__random_states-false__pA-NA__alpha_agree-0p35__alpha_disagree-0p85__beta-0p05__gamma-0p5__seed-42__id-39d01ce0a9__plot2.png,scenario1__H-15000__eta-constant__eta0-0p05__c-NA__random_states-false__pA-NA__alpha_agree-0p35__alpha_disagree-0p85__beta-0p05__gamma-0p5__seed-42__id-39d01ce0a9__plot3.png
scenario1,15000,scenario1__H15000__eta-constant__states-exogenous,cfg_005b41dcb198abe21b6f,constant,constant_eta0_0p05,True,0.2,0.51,0.05,,0.1,0.1,0.9,0.1,A,opposed_binary_state_preferences_v1,binary_stay_switch_a0_0p1_a1_0p9_v1__exogenous,run_4d1508ce2b9fede9,1,42,0.0,0.0,0.0,4.5426047193003685e-283,4.542604719300382e-283,0.0,0.0,1.0,1.0,0.4585476584296665,0.4585476584296665,1.0,4.553097999617419e-286,0.4585476584296665,0.5414523415703335,1.0,4.5530979996174325e-286,0.4585476584296665,0.5414523415703335,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9,0.1,0.9,0.1,0.9,0.1,0.9,0.1,2.5e-323,0.9805657340277915,0.9805657340277915,0.00012207463166012477,0.011108791481071353,0.00012207463166012477,0.0,0.0656,0.0018,0.9982,0.9918666666666667,0.007333333333333333,0.0008,0.9,0.1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0018,0.0,0.9982,0.0,0.9918666666666667,0.0,0.007333333333333333,0.0,0.0008,0.0,0.0656,0.0,scenario1__H-15000__eta-constant__eta0-0p05__c-NA__random_states-true__pA-0p9__alpha_agree-0p2__alpha_disagree-0p51__beta-0p1__gamma-0p1__seed-42__id-3ed50b2768,scenario1__H-15000__eta-constant__eta0-0p05__c-NA__random_states-true__pA-0p9__alpha_agree-0p2__alpha_disagree-0p51__beta-0p1__gamma-0p1__seed-42__id-3ed50b2768__plot1_a0.png,scenario1__H-15000__eta-constant__eta0-0p05__c-NA__random_states-true__pA-0p9__alpha_agree-0p2__alpha_disagree-0p51__beta-0p1__gamma-0p1__seed-42__id-3ed50b2768__plot1_a1.png,scenario1__H-15000__eta-constant__eta0-0p05__c-NA__random_states-true__pA-0p9__alpha_agree-0p2__alpha_disagree-0p51__beta-0p1__gamma-0p1__seed-42__id-3ed50b2768__plot2.png,scenario1__H-15000__eta-constant__eta0-0p05__c-NA__random_states-true__pA-0p9__alpha_agree-0p2__alpha_disagree-0p51__beta-0p1__gamma-0p1__seed-42__id-3ed50b2768__plot3.png
scenario1,15000,scenario1__H15000__eta-exact_empirical__states-endogenous,cfg_015d73db82d26f71e7ed,exact_empirical,exact_empirical,False,0.35,0.85,,,0.1,0.5,,,A,opposed_binary_state_preferences_v1,binary_stay_switch_a0_0p1_a1_0p9_v1,run_c7d39ba5dd58c375,1,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9,0.1,0.09999999999999998,0.9,0.1,0.9,0.9,0.09999999999999998,2.5e-323,0.9651528416763877,0.9651528416763877,0.0,0.0,0.0,0.0,0.00013333333333333334,0.00013333333333333334,0.9998666666666667,0.9998666666666667,0.0,0.00013333333333333334,0.901,0.099,1,0.0,0.0,0.0,0.0,0.0,0.0,0.00013333333333333334,0.0,0.9998666666666667,0.0,0.9998666666666667,0.0,0.0,0.0,0.00013333333333333334,0.0,0.00013333333333333334,0.0,scenario1__H-15000__eta-exact_empirical__eta0-NA__c-NA__random_states-false__pA-NA__alpha_agree-0p35__alpha_disagree-0p85__beta-0p1__gamma-0p5__seed-42__id-8553fd4546,scenario1__H-15000__eta-exact_empirical__eta0-NA__c-NA__random_states-false__pA-NA__alpha_agree-0p35__alpha_disagree-0p85__beta-0p1__gamma-0p5__seed-42__id-8553fd4546__plot1_a0.png,scenario1__H-15000__eta-exact_empirical__eta0-NA__c-NA__random_states-false__pA-NA__alpha_agree-0p35__alpha_disagree-0p85__beta-0p1__gamma-0p5__seed-42__id-8553fd4546__plot1_a1.png,scenario1__H-15000__eta-exact_empirical__eta0-NA__c-NA__random_states-false__pA-NA__alpha_agree-0p35__alpha_disagree-0p85__beta-0p1__gamma-0p5__seed-42__id-8553fd4546__plot2.png,scenario1__H-15000__eta-exact_empirical__eta0-NA__c-NA__random_states-false__pA-NA__alpha_agree-0p35__alpha_disagree-0p85__beta-0p1__gamma-0p5__seed-42__id-8553fd4546__plot3.png
scenario1,15000,scenario1__H15000__eta-exact_empirical__states-exogenous,cfg_006aa5e0a71e146c7d87,exact_empirical,exact_empirical,True,0.35,0.85,,,0.02,0.75,0.99,0.01,A,opposed_binary_state_preferences_v1,binary_stay_switch_a0_0p1_a1_0p9_v1__exogenous,run_d413b7a105b854c6,1,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.99,0.01,0.99,0.01,0.99,0.01,0.99,0.01,5.022723921062555e-134,0.9953141660261566,0.9953141660261566,3.949113595742283e-236,1.3558623344955388e-234,3.949113595742283e-236,0.0,0.00013333333333333334,0.00013333333333333334,0.9998666666666667,0.9998666666666667,0.0,0.00013333333333333334,0.9891333333333333,0.010866666666666667,1,0.0,0.0,0.0,0.0,0.0,0.0,0.00013333333333333334,0.0,0.9998666666666667,0.0,0.9998666666666667,0.0,0.0,0.0,0.00013333333333333334,0.0,0.00013333333333333334,0.0,scenario1__H-15000__eta-exact_empirical__eta0-NA__c-NA__random_states-true__pA-0p99__alpha_agree-0p35__alpha_disagree-0p85__beta-0p02__gamma-0p75__seed-42__id-9a9e8948d7,scenario1__H-15000__eta-exact_empirical__eta0-NA__c-NA__random_states-true__pA-0p99__alpha_agree-0p35__alpha_disagree-0p85__beta-0p02__gamma-0p75__seed-42__id-9a9e8948d7__plot1_a0.png,scenario1__H-15000__eta-exact_empirical__eta0-NA__c-NA__random_states-true__pA-0p99__alpha_agree-0p35__alpha_disagree-0p85__beta-0p02__gamma-0p75__seed-42__id-9a9e8948d7__plot1_a1.png,scenario1__H-15000__eta-exact_empirical__eta0-NA__c-NA__random_states-true__pA-0p99__alpha_agree-0p35__alpha_disagree-0p85__beta-0p02__gamma-0p75__seed-42__id-9a9e8948d7__plot2.png,scenario1__H-15000__eta-exact_empirical__eta0-NA__c-NA__random_states-true__pA-0p99__alpha_agree-0p35__alpha_disagree-0p85__beta-0p02__gamma-0p75__seed-42__id-9a9e8948d7__plot3.png
scenario1,15000,scenario1__H15000__eta-global_decay__states-endogenous,cfg_00d040fe688b08f32e33,global_decay,global_decay_eta0_0p08_c_0p002,False,0.49,0.51,0.08,0.002,0.1,0.5,,,A,opposed_binary_state_preferences_v1,binary_stay_switch_a0_0p1_a1_0p9_v1,run_a7311c49d6a4f7a4,1,42,0.0,0.0,0.0,0.9545201905276137,0.9545201905276137,0.0,0.0,0.13956651912148485,0.13956651912148485,0.3767296077357454,0.3767296077357454,0.13956651912148485,0.8604334808785152,0.3767296077357454,0.6232703922642547,0.13956651912148485,0.8604334808785152,0.3767296077357454,0.6232703922642547,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9,0.1,0.09999999999999998,0.9,0.1,0.9,0.9,0.09999999999999998,0.0,0.32297375103017056,0.32297375103017056,1.4830064482453587,1.7353730084013677,1.7353730084013677,1.0,0.6347333333333334,0.0005333333333333334,0.9994666666666666,0.9994666666666666,0.0,0.0005333333333333334,0.3944666666666667,0.6055333333333334,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0005333333333333334,0.0,0.9994666666666666,0.0,0.9994666666666666,0.0,0.0,0.0,0.0005333333333333334,0.0,0.6347333333333334,0.0,scenario1__H-15000__eta-global_decay__eta0-0p08__c-0p002__random_states-false__pA-NA__alpha_agree-0p49__alpha_disagree-0p51__beta-0p1__gamma-0p5__seed-42__id-69f1418ff5,scenario1__H-15000__eta-global_decay__eta0-0p08__c-0p002__random_states-false__pA-NA__alpha_agree-0p49__alpha_disagree-0p51__beta-0p1__gamma-0p5__seed-42__id-69f1418ff5__plot1_a0.png,scenario1__H-15000__eta-global_decay__eta0-0p08__c-0p002__random_states-false__pA-NA__alpha_agree-0p49__alpha_disagree-0p51__beta-0p1__gamma-0p5__seed-42__id-69f1418ff5__plot1_a1.png,scenario1__H-15000__eta-global_decay__eta0-0p08__c-0p002__random_states-false__pA-NA__alpha_agree-0p49__alpha_disagree-0p51__beta-0p1__gamma-0p5__seed-42__id-69f1418ff5__plot2.png,scenario1__H-15000__eta-global_decay__eta0-0p08__c-0p002__random_states-false__pA-NA__alpha_agree-0p49__alpha_disagree-0p51__beta-0p1__gamma-0p5__seed-42__id-69f1418ff5__plot3.png
scenario1,15000,scenario1__H15000__eta-global_decay__states-exogenous,cfg_003f9982de4d960e0b79,global_decay,global_decay_eta0_0p1_c_0p001,True,0.2,0.85,0.1,0.001,0.02,0.25,0.3,0.7,B,opposed_binary_state_preferences_v1,binary_stay_switch_a0_0p1_a1_0p9_v1__exogenous,run_561c19e56be081de,1,42,0.0,0.0,0.0,1.6785291067644843e-67,1.678529106764389e-67,0.0,0.0,1.0,1.0,1.0,1.0,1.0,8.85585929341451e-27,1.0,7.262907194944435e-70,1.0,8.855859295253769e-27,1.0,7.26290719494402e-70,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.3,0.7,0.3,0.7,0.3,0.7,0.3,0.7,0.0,0.6899189024181553,0.6899189024181553,0.2333333333333333,1.2333333333333334,1.2333333333333334,1.0,0.6968666666666666,0.001,0.999,0.992,0.007866666666666666,0.00013333333333333334,0.2959333333333333,0.7040666666666666,1,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.999,0.0,0.992,0.0,0.007866666666666666,0.0,0.00013333333333333334,0.0,0.6968666666666666,0.0,scenario1__H-15000__eta-global_decay__eta0-0p1__c-0p001__random_states-true__pA-0p3__alpha_agree-0p2__alpha_disagree-0p85__beta-0p02__gamma-0p25__seed-42__id-3a51983754,scenario1__H-15000__eta-global_decay__eta0-0p1__c-0p001__random_states-true__pA-0p3__alpha_agree-0p2__alpha_disagree-0p85__beta-0p02__gamma-0p25__seed-42__id-3a51983754__plot1_a0.png,scenario1__H-15000__eta-global_decay__eta0-0p1__c-0p001__random_states-true__pA-0p3__alpha_agree-0p2__alpha_disagree-0p85__beta-0p02__gamma-0p25__seed-42__id-3a51983754__plot1_a1.png,scenario1__H-15000__eta-global_decay__eta0-0p1__c-0p001__random_states-true__pA-0p3__alpha_agree-0p2__alpha_disagree-0p85__beta-0p02__gamma-0p25__seed-42__id-3a51983754__plot2.png,scenario1__H-15000__eta-global_decay__eta0-0p1__c-0p001__random_states-true__pA-0p3__alpha_agree-0p2__alpha_disagree-0p85__beta-0p02__gamma-0p25__seed-42__id-3a51983754__plot3.png
