scenario,H,winner_group_id,config_id,eta_kind,eta_label,random_states,alpha_agree,alpha_disagree,eta0,c,beta,gamma,pA,pB,initial_state,utility_spec_id,transition_spec_id,representative_run_id,representative_replicate,representative_seed,D_JS_final,D_JS_A_final,D_JS_B_final,Sh_entr_H_final,Sh_entr_AI_final,absdiff_A_final,absdiff_B_final,p_H_A_final,p_AI_A_final,p_H_B_final,p_AI_B_final,chain_p_H_A_a0,chain_p_H_A_a1,chain_p_H_B_a0,chain_p_H_B_a1,chain_p_AI_A_a0,chain_p_AI_A_a1,chain_p_AI_B_a0,chain_p_AI_B_a1,chain_U_H_A_a0,chain_U_H_A_a1,chain_U_H_B_a0,chain_U_H_B_a1,chain_U_AI_A_a0,chain_U_AI_A_a1,chain_U_AI_B_a0,chain_U_AI_B_a1,chain_P_A_a0_A,chain_P_A_a0_B,chain_P_A_a1_A,chain_P_A_a1_B,chain_P_B_a0_A,chain_P_B_a0_B,chain_P_B_a1_A,chain_P_B_a1_B,Uhat_H_realized_final,Uhat_AI_realized_final,Uhat_coal_final,Vhat_A_final,Vhat_B_final,Vhat_coal_final,reward_structural_final,reward_structural_mean,f_H_final,f_AI_final,f_agree,f_ctx,f_disagree,state_A_freq,state_B_freq,n_replicates,D_JS_final_mean,D_JS_final_sd,absdiff_A_final_mean,absdiff_A_final_sd,absdiff_B_final_mean,absdiff_B_final_sd,f_H_final_mean,f_H_final_sd,f_AI_final_mean,f_AI_final_sd,f_agree_mean,f_agree_sd,f_ctx_mean,f_ctx_sd,f_disagree_mean,f_disagree_sd,reward_structural_mean_across_runs,reward_structural_sd_across_runs,plot_prefix,plot1_a0_file,plot1_a1_file,plot2_file,plot3_file
scenario1,1000,scenario1__H1000__eta-constant__states-endogenous,cfg_214eeb1a8aa1b421e0cc,constant,constant_eta0_0p15,False,0.2,0.85,0.15,,0.1,0.5,,,A,opposed_binary_state_preferences_v1,binary_stay_switch_a0_0p1_a1_0p9_v1,run_5ee7146d8fff9bcf,1,42,0.0,0.0,0.0,1.4398348949876414e-30,1.4398348949876414e-30,0.0,1.6898307297723292e-19,1.0,1.0,1.1789261892158889e-06,1.1789261892160579e-06,1.0,1.1561341879509539e-32,1.1789261892158889e-06,0.9999988210738109,1.0,1.1561341879509539e-32,1.1789261892160579e-06,0.9999988210738109,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9,0.1,0.09999999999999998,0.9,0.1,0.9,0.9,0.09999999999999998,1.7186863237344844e-46,0.9671840805278873,0.9671840805278873,1.4471324285853407e-42,1.591800644925127e-41,1.4471324285853407e-42,0.0,0.253,0.009,0.991,0.954,0.044,0.002,0.709,0.291,1,0.0,0.0,0.0,0.0,1.6898307297723292e-19,0.0,0.009,0.0,0.991,0.0,0.954,0.0,0.044,0.0,0.002,0.0,0.253,0.0,scenario1__H-1000__eta-constant__eta0-0p15__c-NA__random_states-false__pA-NA__alpha_agree-0p2__alpha_disagree-0p85__beta-0p1__gamma-0p5__seed-42__id-f7096585bf,scenario1__H-1000__eta-constant__eta0-0p15__c-NA__random_states-false__pA-NA__alpha_agree-0p2__alpha_disagree-0p85__beta-0p1__gamma-0p5__seed-42__id-f7096585bf__plot1_a0.png,scenario1__H-1000__eta-constant__eta0-0p15__c-NA__random_states-false__pA-NA__alpha_agree-0p2__alpha_disagree-0p85__beta-0p1__gamma-0p5__seed-42__id-f7096585bf__plot1_a1.png,scenario1__H-1000__eta-constant__eta0-0p15__c-NA__random_states-false__pA-NA__alpha_agree-0p2__alpha_disagree-0p85__beta-0p1__gamma-0p5__seed-42__id-f7096585bf__plot2.png,scenario1__H-1000__eta-constant__eta0-0p15__c-NA__random_states-false__pA-NA__alpha_agree-0p2__alpha_disagree-0p85__beta-0p1__gamma-0p5__seed-42__id-f7096585bf__plot3.png
scenario1,1000,scenario1__H1000__eta-constant__states-exogenous,cfg_00ffc3bd21a08352cfd7,constant,constant_eta0_0p08,True,0.49,0.51,0.08,,0.02,0.75,0.7,0.3,B,opposed_binary_state_preferences_v1,binary_stay_switch_a0_0p1_a1_0p9_v1__exogenous,run_1dd800daec9862e3,1,42,0.0,0.0,0.0,1.7181485045769521e-12,1.7181485045790043e-12,0.0,1.3360271222673248e-11,0.9999999999999657,0.9999999999999657,0.11028183426933946,0.11028183428269973,0.9999999999999657,3.432579017396029e-14,0.11028183426933946,0.8897181657306605,0.9999999999999657,3.432579017400404e-14,0.11028183428269973,0.8897181657173003,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.7,0.3,0.7,0.3,0.7,0.3,0.7,0.3,1.4677357647829883e-10,0.7570120616472933,0.7570120616472933,0.15566191891380893,0.2413396133889341,0.15566191891380893,0.0,0.394,0.008,0.992,0.992,0.0,0.008,0.7,0.3,1,0.0,0.0,0.0,0.0,1.3360271222673248e-11,0.0,0.008,0.0,0.992,0.0,0.992,0.0,0.0,0.0,0.008,0.0,0.394,0.0,scenario1__H-1000__eta-constant__eta0-0p08__c-NA__random_states-true__pA-0p7__alpha_agree-0p49__alpha_disagree-0p51__beta-0p02__gamma-0p75__seed-42__id-47ef656b83,scenario1__H-1000__eta-constant__eta0-0p08__c-NA__random_states-true__pA-0p7__alpha_agree-0p49__alpha_disagree-0p51__beta-0p02__gamma-0p75__seed-42__id-47ef656b83__plot1_a0.png,scenario1__H-1000__eta-constant__eta0-0p08__c-NA__random_states-true__pA-0p7__alpha_agree-0p49__alpha_disagree-0p51__beta-0p02__gamma-0p75__seed-42__id-47ef656b83__plot1_a1.png,scenario1__H-1000__eta-constant__eta0-0p08__c-NA__random_states-true__pA-0p7__alpha_agree-0p49__alpha_disagree-0p51__beta-0p02__gamma-0p75__seed-42__id-47ef656b83__plot2.png,scenario1__H-1000__eta-constant__eta0-0p08__c-NA__random_states-true__pA-0p7__alpha_agree-0p49__alpha_disagree-0p51__beta-0p02__gamma-0p75__seed-42__id-47ef656b83__plot3.png
scenario1,1000,scenario1__H1000__eta-exact_empirical__states-endogenous,cfg_00a42e5b9051f1873e5d,exact_empirical,exact_empirical,False,0.49,0.51,,,0.02,0.5,,,A,opposed_binary_state_preferences_v1,binary_stay_switch_a0_0p1_a1_0p9_v1,run_a374172071d3047f,1,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9,0.1,0.09999999999999998,0.9,0.1,0.9,0.9,0.09999999999999998,3.434627259624329e-11,0.9105509005079837,0.9105509005079837,2.924568114830341e-80,3.2169339304111e-79,2.924568114830341e-80,0.0,0.002,0.002,0.998,0.998,0.0,0.002,0.911,0.089,1,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.998,0.0,0.998,0.0,0.0,0.0,0.002,0.0,0.002,0.0,scenario1__H-1000__eta-exact_empirical__eta0-NA__c-NA__random_states-false__pA-NA__alpha_agree-0p49__alpha_disagree-0p51__beta-0p02__gamma-0p5__seed-42__id-3696384da6,scenario1__H-1000__eta-exact_empirical__eta0-NA__c-NA__random_states-false__pA-NA__alpha_agree-0p49__alpha_disagree-0p51__beta-0p02__gamma-0p5__seed-42__id-3696384da6__plot1_a0.png,scenario1__H-1000__eta-exact_empirical__eta0-NA__c-NA__random_states-false__pA-NA__alpha_agree-0p49__alpha_disagree-0p51__beta-0p02__gamma-0p5__seed-42__id-3696384da6__plot1_a1.png,scenario1__H-1000__eta-exact_empirical__eta0-NA__c-NA__random_states-false__pA-NA__alpha_agree-0p49__alpha_disagree-0p51__beta-0p02__gamma-0p5__seed-42__id-3696384da6__plot2.png,scenario1__H-1000__eta-exact_empirical__eta0-NA__c-NA__random_states-false__pA-NA__alpha_agree-0p49__alpha_disagree-0p51__beta-0p02__gamma-0p5__seed-42__id-3696384da6__plot3.png
scenario1,1000,scenario1__H1000__eta-exact_empirical__states-exogenous,cfg_008b56aa4658b34518c2,exact_empirical,exact_empirical,True,0.35,0.85,,,0.1,0.5,0.01,0.99,B,opposed_binary_state_preferences_v1,binary_stay_switch_a0_0p1_a1_0p9_v1__exogenous,run_8e264e7e7802e995,1,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.01,0.99,0.01,0.99,0.01,0.99,0.01,0.99,1.9420791685807696e-47,0.9999915358480369,0.9999915358480369,1.2762739150537356e-13,1.263637539657164e-15,1.263637539657164e-15,0.0,0.002,0.002,0.998,0.998,0.0,0.002,0.008,0.992,1,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.998,0.0,0.998,0.0,0.0,0.0,0.002,0.0,0.002,0.0,scenario1__H-1000__eta-exact_empirical__eta0-NA__c-NA__random_states-true__pA-0p01__alpha_agree-0p35__alpha_disagree-0p85__beta-0p1__gamma-0p5__seed-42__id-36a2f28496,scenario1__H-1000__eta-exact_empirical__eta0-NA__c-NA__random_states-true__pA-0p01__alpha_agree-0p35__alpha_disagree-0p85__beta-0p1__gamma-0p5__seed-42__id-36a2f28496__plot1_a0.png,scenario1__H-1000__eta-exact_empirical__eta0-NA__c-NA__random_states-true__pA-0p01__alpha_agree-0p35__alpha_disagree-0p85__beta-0p1__gamma-0p5__seed-42__id-36a2f28496__plot1_a1.png,scenario1__H-1000__eta-exact_empirical__eta0-NA__c-NA__random_states-true__pA-0p01__alpha_agree-0p35__alpha_disagree-0p85__beta-0p1__gamma-0p5__seed-42__id-36a2f28496__plot2.png,scenario1__H-1000__eta-exact_empirical__eta0-NA__c-NA__random_states-true__pA-0p01__alpha_agree-0p35__alpha_disagree-0p85__beta-0p1__gamma-0p5__seed-42__id-36a2f28496__plot3.png
scenario1,1000,scenario1__H1000__eta-global_decay__states-endogenous,cfg_0eaa9d3e2e2bb7b59c88,global_decay,global_decay_eta0_0p15_c_0p001,False,0.35,0.85,0.15,0.001,0.1,0.5,,,A,opposed_binary_state_preferences_v1,binary_stay_switch_a0_0p1_a1_0p9_v1,run_d6acaeb94f20850b,1,42,0.0,8.077935669463161e-28,0.0,1.478444753421863e-11,1.4784447543481313e-11,0.0,0.0,0.9999999999996808,0.9999999999996808,1.0,1.0,0.9999999999996808,3.19221383283938e-13,1.0,2.238889136837449e-18,0.9999999999996808,3.1922138349837694e-13,1.0,2.2388890505629542e-18,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9,0.1,0.09999999999999998,0.9,0.1,0.9,0.9,0.09999999999999998,8.611506125555098e-47,0.8925659194558019,0.8925659194558019,0.16666666666666669,1.8333333333333335,0.16666666666666669,0.0,0.534,0.006,0.994,0.977,0.021,0.002,0.472,0.528,1,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.994,0.0,0.977,0.0,0.021,0.0,0.002,0.0,0.534,0.0,scenario1__H-1000__eta-global_decay__eta0-0p15__c-0p001__random_states-false__pA-NA__alpha_agree-0p35__alpha_disagree-0p85__beta-0p1__gamma-0p5__seed-42__id-4b77cc1b50,scenario1__H-1000__eta-global_decay__eta0-0p15__c-0p001__random_states-false__pA-NA__alpha_agree-0p35__alpha_disagree-0p85__beta-0p1__gamma-0p5__seed-42__id-4b77cc1b50__plot1_a0.png,scenario1__H-1000__eta-global_decay__eta0-0p15__c-0p001__random_states-false__pA-NA__alpha_agree-0p35__alpha_disagree-0p85__beta-0p1__gamma-0p5__seed-42__id-4b77cc1b50__plot1_a1.png,scenario1__H-1000__eta-global_decay__eta0-0p15__c-0p001__random_states-false__pA-NA__alpha_agree-0p35__alpha_disagree-0p85__beta-0p1__gamma-0p5__seed-42__id-4b77cc1b50__plot2.png,scenario1__H-1000__eta-global_decay__eta0-0p15__c-0p001__random_states-false__pA-NA__alpha_agree-0p35__alpha_disagree-0p85__beta-0p1__gamma-0p5__seed-42__id-4b77cc1b50__plot3.png
scenario1,1000,scenario1__H1000__eta-global_decay__states-exogenous,cfg_2003f22028992844e162,global_decay,global_decay_eta0_0p1_c_0p001,True,0.49,0.51,0.1,0.001,0.1,0.9,0.7,0.3,B,opposed_binary_state_preferences_v1,binary_stay_switch_a0_0p1_a1_0p9_v1__exogenous,run_4919e2fcff2b0ab0,1,42,0.0,0.0,0.0,0.6849782417017136,0.6849782417017136,0.0,3.8117298206685746e-10,0.8268608784723616,0.8268608784723616,0.17178919026471223,0.17178919064588521,0.8268608784723616,0.17313912152763852,0.17178919026471223,0.8282108097352878,0.8268608784723616,0.17313912152763852,0.17178919064588521,0.8282108093541148,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.7,0.3,0.7,0.3,0.7,0.3,0.7,0.3,7.781932836760932e-47,0.6824866586868785,0.6824866586868785,3.878050968133214,3.3722495353021587,3.878050968133214,0.0,0.546,0.006,0.994,0.994,0.0,0.006,0.7,0.3,1,0.0,0.0,0.0,0.0,3.8117298206685746e-10,0.0,0.006,0.0,0.994,0.0,0.994,0.0,0.0,0.0,0.006,0.0,0.546,0.0,scenario1__H-1000__eta-global_decay__eta0-0p1__c-0p001__random_states-true__pA-0p7__alpha_agree-0p49__alpha_disagree-0p51__beta-0p1__gamma-0p9__seed-42__id-8ec0744929,scenario1__H-1000__eta-global_decay__eta0-0p1__c-0p001__random_states-true__pA-0p7__alpha_agree-0p49__alpha_disagree-0p51__beta-0p1__gamma-0p9__seed-42__id-8ec0744929__plot1_a0.png,scenario1__H-1000__eta-global_decay__eta0-0p1__c-0p001__random_states-true__pA-0p7__alpha_agree-0p49__alpha_disagree-0p51__beta-0p1__gamma-0p9__seed-42__id-8ec0744929__plot1_a1.png,scenario1__H-1000__eta-global_decay__eta0-0p1__c-0p001__random_states-true__pA-0p7__alpha_agree-0p49__alpha_disagree-0p51__beta-0p1__gamma-0p9__seed-42__id-8ec0744929__plot2.png,scenario1__H-1000__eta-global_decay__eta0-0p1__c-0p001__random_states-true__pA-0p7__alpha_agree-0p49__alpha_disagree-0p51__beta-0p1__gamma-0p9__seed-42__id-8ec0744929__plot3.png
