scenario,H,winner_group_id,config_id,eta_kind,eta_label,random_states,alpha_agree,alpha_disagree,eta0,c,beta,gamma,pA,pB,initial_state,utility_spec_id,transition_spec_id,representative_run_id,representative_replicate,representative_seed,D_JS_final,D_JS_A_final,D_JS_B_final,Sh_entr_H_final,Sh_entr_AI_final,absdiff_A_final,absdiff_B_final,p_H_A_final,p_AI_A_final,p_H_B_final,p_AI_B_final,chain_p_H_A_a0,chain_p_H_A_a1,chain_p_H_B_a0,chain_p_H_B_a1,chain_p_AI_A_a0,chain_p_AI_A_a1,chain_p_AI_B_a0,chain_p_AI_B_a1,chain_U_H_A_a0,chain_U_H_A_a1,chain_U_H_B_a0,chain_U_H_B_a1,chain_U_AI_A_a0,chain_U_AI_A_a1,chain_U_AI_B_a0,chain_U_AI_B_a1,chain_P_A_a0_A,chain_P_A_a0_B,chain_P_A_a1_A,chain_P_A_a1_B,chain_P_B_a0_A,chain_P_B_a0_B,chain_P_B_a1_A,chain_P_B_a1_B,Uhat_H_realized_final,Uhat_AI_realized_final,Uhat_coal_final,Vhat_A_final,Vhat_B_final,Vhat_coal_final,reward_structural_final,reward_structural_mean,f_H_final,f_AI_final,f_agree,f_ctx,f_disagree,state_A_freq,state_B_freq,n_replicates,D_JS_final_mean,D_JS_final_sd,absdiff_A_final_mean,absdiff_A_final_sd,absdiff_B_final_mean,absdiff_B_final_sd,f_H_final_mean,f_H_final_sd,f_AI_final_mean,f_AI_final_sd,f_agree_mean,f_agree_sd,f_ctx_mean,f_ctx_sd,f_disagree_mean,f_disagree_sd,reward_structural_mean_across_runs,reward_structural_sd_across_runs,plot_prefix,plot1_a0_file,plot1_a1_file,plot2_file,plot3_file
scenario1,5000,scenario1__H5000__eta-constant__states-endogenous,cfg_0157bb8a406be5f4114e,constant,constant_eta0_0p05,False,0.49,0.51,0.05,,0.02,0.75,,,A,opposed_binary_state_preferences_v1,binary_stay_switch_a0_0p1_a1_0p9_v1,run_2d23dbd1eda03859,1,42,0.0,0.0,2.4545467326488633e-91,2.0314424715115799e-75,2.0314424715114488e-75,0.0,0.0,0.6770870293257032,0.6770870293257032,1.0,1.0,0.6770870293257032,0.3229129706742968,1.0,7.534941792508558e-78,0.6770870293257032,0.3229129706742968,1.0,7.534941792508068e-78,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9,0.1,0.09999999999999998,0.9,0.1,0.9,0.9,0.09999999999999998,0.0,0.8058689553487479,0.8058689553487479,3.9929847582004214,3.9983781151336824,3.9983781151336824,1.0,0.886,0.0024,0.9976,0.9976,0.0,0.0024,0.1894,0.8106,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0024,0.0,0.9976,0.0,0.9976,0.0,0.0,0.0,0.0024,0.0,0.886,0.0,scenario1__H-5000__eta-constant__eta0-0p05__c-NA__random_states-false__pA-NA__alpha_agree-0p49__alpha_disagree-0p51__beta-0p02__gamma-0p75__seed-42__id-198fbe8d1d,scenario1__H-5000__eta-constant__eta0-0p05__c-NA__random_states-false__pA-NA__alpha_agree-0p49__alpha_disagree-0p51__beta-0p02__gamma-0p75__seed-42__id-198fbe8d1d__plot1_a0.png,scenario1__H-5000__eta-constant__eta0-0p05__c-NA__random_states-false__pA-NA__alpha_agree-0p49__alpha_disagree-0p51__beta-0p02__gamma-0p75__seed-42__id-198fbe8d1d__plot1_a1.png,scenario1__H-5000__eta-constant__eta0-0p05__c-NA__random_states-false__pA-NA__alpha_agree-0p49__alpha_disagree-0p51__beta-0p02__gamma-0p75__seed-42__id-198fbe8d1d__plot2.png,scenario1__H-5000__eta-constant__eta0-0p05__c-NA__random_states-false__pA-NA__alpha_agree-0p49__alpha_disagree-0p51__beta-0p02__gamma-0p75__seed-42__id-198fbe8d1d__plot3.png
scenario1,5000,scenario1__H5000__eta-constant__states-exogenous,cfg_02b657065c5346a1f825,constant,constant_eta0_0p05,True,0.35,0.85,0.05,,0.05,0.25,0.3,0.7,B,opposed_binary_state_preferences_v1,binary_stay_switch_a0_0p1_a1_0p9_v1__exogenous,run_7fbb3e2a3a7c4a12,1,42,0.0,0.0,0.0,8.136543659402721e-24,8.136544282544122e-24,0.0,0.0,1.0,1.0,1.0,1.0,1.0,9.30413893198389e-26,1.0,1.4335090912907018e-57,1.0,9.304139657138853e-26,1.0,1.4335090912907018e-57,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.3,0.7,0.3,0.7,0.3,0.7,0.3,0.7,1.0589855868342613e-111,0.2811308226626281,0.2811308226626281,0.2333333333333333,1.2333333333333334,0.2333333333333333,0.0,0.6666,0.0032,0.9968,0.9638,0.0358,0.0004,0.3006,0.6994,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.0,0.9968,0.0,0.9638,0.0,0.0358,0.0,0.0004,0.0,0.6666,0.0,scenario1__H-5000__eta-constant__eta0-0p05__c-NA__random_states-true__pA-0p3__alpha_agree-0p35__alpha_disagree-0p85__beta-0p05__gamma-0p25__seed-42__id-e0ef963379,scenario1__H-5000__eta-constant__eta0-0p05__c-NA__random_states-true__pA-0p3__alpha_agree-0p35__alpha_disagree-0p85__beta-0p05__gamma-0p25__seed-42__id-e0ef963379__plot1_a0.png,scenario1__H-5000__eta-constant__eta0-0p05__c-NA__random_states-true__pA-0p3__alpha_agree-0p35__alpha_disagree-0p85__beta-0p05__gamma-0p25__seed-42__id-e0ef963379__plot1_a1.png,scenario1__H-5000__eta-constant__eta0-0p05__c-NA__random_states-true__pA-0p3__alpha_agree-0p35__alpha_disagree-0p85__beta-0p05__gamma-0p25__seed-42__id-e0ef963379__plot2.png,scenario1__H-5000__eta-constant__eta0-0p05__c-NA__random_states-true__pA-0p3__alpha_agree-0p35__alpha_disagree-0p85__beta-0p05__gamma-0p25__seed-42__id-e0ef963379__plot3.png
scenario1,5000,scenario1__H5000__eta-exact_empirical__states-endogenous,cfg_00b3d26610e6b48f0037,exact_empirical,exact_empirical,False,0.2,0.51,,,0.02,0.5,,,A,opposed_binary_state_preferences_v1,binary_stay_switch_a0_0p1_a1_0p9_v1,run_1c0d08e1ba50e7e4,1,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9,0.1,0.09999999999999998,0.9,0.1,0.9,0.9,0.09999999999999998,2.755385587614283e-46,0.9101611658809402,0.9101611658809402,0.0,0.0,0.0,0.0,0.0004,0.0004,0.9996,0.9996,0.0,0.0004,0.9052,0.0948,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.9996,0.0,0.9996,0.0,0.0,0.0,0.0004,0.0,0.0004,0.0,scenario1__H-5000__eta-exact_empirical__eta0-NA__c-NA__random_states-false__pA-NA__alpha_agree-0p2__alpha_disagree-0p51__beta-0p02__gamma-0p5__seed-42__id-fe022a6c77,scenario1__H-5000__eta-exact_empirical__eta0-NA__c-NA__random_states-false__pA-NA__alpha_agree-0p2__alpha_disagree-0p51__beta-0p02__gamma-0p5__seed-42__id-fe022a6c77__plot1_a0.png,scenario1__H-5000__eta-exact_empirical__eta0-NA__c-NA__random_states-false__pA-NA__alpha_agree-0p2__alpha_disagree-0p51__beta-0p02__gamma-0p5__seed-42__id-fe022a6c77__plot1_a1.png,scenario1__H-5000__eta-exact_empirical__eta0-NA__c-NA__random_states-false__pA-NA__alpha_agree-0p2__alpha_disagree-0p51__beta-0p02__gamma-0p5__seed-42__id-fe022a6c77__plot2.png,scenario1__H-5000__eta-exact_empirical__eta0-NA__c-NA__random_states-false__pA-NA__alpha_agree-0p2__alpha_disagree-0p51__beta-0p02__gamma-0p5__seed-42__id-fe022a6c77__plot3.png
scenario1,5000,scenario1__H5000__eta-exact_empirical__states-exogenous,cfg_001ce9a16fef1529e873,exact_empirical,exact_empirical,True,0.49,0.51,,,0.1,0.1,0.99,0.01,A,opposed_binary_state_preferences_v1,binary_stay_switch_a0_0p1_a1_0p9_v1__exogenous,run_53e9e97f96597f31,1,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.99,0.01,0.99,0.01,0.99,0.01,0.99,0.01,1.8126113170475916e-230,0.999999974534341,0.999999974534341,1.5889503320277643e-172,1.4316442491570155e-169,1.5889503320277643e-172,0.0,0.0004,0.0004,0.9996,0.9996,0.0,0.0004,0.9882,0.0118,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.9996,0.0,0.9996,0.0,0.0,0.0,0.0004,0.0,0.0004,0.0,scenario1__H-5000__eta-exact_empirical__eta0-NA__c-NA__random_states-true__pA-0p99__alpha_agree-0p49__alpha_disagree-0p51__beta-0p1__gamma-0p1__seed-42__id-8d48714622,scenario1__H-5000__eta-exact_empirical__eta0-NA__c-NA__random_states-true__pA-0p99__alpha_agree-0p49__alpha_disagree-0p51__beta-0p1__gamma-0p1__seed-42__id-8d48714622__plot1_a0.png,scenario1__H-5000__eta-exact_empirical__eta0-NA__c-NA__random_states-true__pA-0p99__alpha_agree-0p49__alpha_disagree-0p51__beta-0p1__gamma-0p1__seed-42__id-8d48714622__plot1_a1.png,scenario1__H-5000__eta-exact_empirical__eta0-NA__c-NA__random_states-true__pA-0p99__alpha_agree-0p49__alpha_disagree-0p51__beta-0p1__gamma-0p1__seed-42__id-8d48714622__plot2.png,scenario1__H-5000__eta-exact_empirical__eta0-NA__c-NA__random_states-true__pA-0p99__alpha_agree-0p49__alpha_disagree-0p51__beta-0p1__gamma-0p1__seed-42__id-8d48714622__plot3.png
scenario1,5000,scenario1__H5000__eta-global_decay__states-endogenous,cfg_002dc055440b8db1fb75,global_decay,global_decay_eta0_0p05_c_0p001,False,0.2,0.51,0.05,0.001,0.05,0.25,,,A,opposed_binary_state_preferences_v1,binary_stay_switch_a0_0p1_a1_0p9_v1,run_12e522251879bc27,1,42,0.0,0.0,0.0,0.9999041023978121,0.9999041023978121,0.0,0.0,0.4984497414565908,0.4984497414565908,0.444013220115785,0.444013220115785,0.4984497414565908,0.5015502585434093,0.444013220115785,0.5559867798842151,0.4984497414565908,0.5015502585434093,0.444013220115785,0.5559867798842151,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9,0.1,0.09999999999999998,0.9,0.1,0.9,0.9,0.09999999999999998,3.4239255357277267e-112,0.2609868561418187,0.2609868561418187,0.2516300746009998,0.27192729836592483,0.2516300746009998,0.0,0.4656,0.005,0.995,0.9642,0.0334,0.0024,0.5318,0.4682,1,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.995,0.0,0.9642,0.0,0.0334,0.0,0.0024,0.0,0.4656,0.0,scenario1__H-5000__eta-global_decay__eta0-0p05__c-0p001__random_states-false__pA-NA__alpha_agree-0p2__alpha_disagree-0p51__beta-0p05__gamma-0p25__seed-42__id-615aa0a3ba,scenario1__H-5000__eta-global_decay__eta0-0p05__c-0p001__random_states-false__pA-NA__alpha_agree-0p2__alpha_disagree-0p51__beta-0p05__gamma-0p25__seed-42__id-615aa0a3ba__plot1_a0.png,scenario1__H-5000__eta-global_decay__eta0-0p05__c-0p001__random_states-false__pA-NA__alpha_agree-0p2__alpha_disagree-0p51__beta-0p05__gamma-0p25__seed-42__id-615aa0a3ba__plot1_a1.png,scenario1__H-5000__eta-global_decay__eta0-0p05__c-0p001__random_states-false__pA-NA__alpha_agree-0p2__alpha_disagree-0p51__beta-0p05__gamma-0p25__seed-42__id-615aa0a3ba__plot2.png,scenario1__H-5000__eta-global_decay__eta0-0p05__c-0p001__random_states-false__pA-NA__alpha_agree-0p2__alpha_disagree-0p51__beta-0p05__gamma-0p25__seed-42__id-615aa0a3ba__plot3.png
scenario1,5000,scenario1__H5000__eta-global_decay__states-exogenous,cfg_0022a53b3152d0f68d10,global_decay,global_decay_eta0_0p08_c_0p001,True,0.7,0.85,0.08,0.001,0.05,0.1,0.3,0.7,B,opposed_binary_state_preferences_v1,binary_stay_switch_a0_0p1_a1_0p9_v1__exogenous,run_d22dcea7105fef28,1,42,0.0,0.0,6.886685573257568e-46,0.3170818489395648,0.3170818489395648,0.0,0.0,0.943354186287679,0.943354186287679,1.0,1.0,0.943354186287679,0.05664581371232105,1.0,9.584454178543927e-45,0.943354186287679,0.05664581371232105,1.0,4.4646896653906644e-45,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.3,0.7,0.3,0.7,0.3,0.7,0.3,0.7,1.0696405370336755e-112,0.2540789305284268,0.2540789305284268,0.07897132616486524,1.0810035842292969,0.07897132616486524,0.0,0.7766,0.0006,0.9994,0.9986,0.001,0.0004,0.3006,0.6994,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.9994,0.0,0.9986,0.0,0.001,0.0,0.0004,0.0,0.7766,0.0,scenario1__H-5000__eta-global_decay__eta0-0p08__c-0p001__random_states-true__pA-0p3__alpha_agree-0p7__alpha_disagree-0p85__beta-0p05__gamma-0p1__seed-42__id-5f88065113,scenario1__H-5000__eta-global_decay__eta0-0p08__c-0p001__random_states-true__pA-0p3__alpha_agree-0p7__alpha_disagree-0p85__beta-0p05__gamma-0p1__seed-42__id-5f88065113__plot1_a0.png,scenario1__H-5000__eta-global_decay__eta0-0p08__c-0p001__random_states-true__pA-0p3__alpha_agree-0p7__alpha_disagree-0p85__beta-0p05__gamma-0p1__seed-42__id-5f88065113__plot1_a1.png,scenario1__H-5000__eta-global_decay__eta0-0p08__c-0p001__random_states-true__pA-0p3__alpha_agree-0p7__alpha_disagree-0p85__beta-0p05__gamma-0p1__seed-42__id-5f88065113__plot2.png,scenario1__H-5000__eta-global_decay__eta0-0p08__c-0p001__random_states-true__pA-0p3__alpha_agree-0p7__alpha_disagree-0p85__beta-0p05__gamma-0p1__seed-42__id-5f88065113__plot3.png
